,Partei: Nr.,Partei: Kurzbezeichnung,Partei: Name,These: Nr.,Domain,These: Titel,These: These,Position: Position,Position: Begründung
0,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,1,6,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"Wir lehnen ein generelles Tempolimit auf Autobahnen ab und setzen stattdessen auf innovative, moderne Verkehrssteuerung. An Gefahrenstellen bestehen schon heute Tempolimits, um die Verkehrssicherheit zu erhöhen."
1,2,SPD,Sozialdemokratische Partei Deutschlands,1,6,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,Ein Tempolimit von 130 km/h auf Bundesautobahnen schützt die Umwelt und senkt die Unfallzahlen deutlich. Außerdem erhöht es die Reichweite von Elektrofahrzeugen deutlich - und diese werden in Zukunft eine Großteil der Fahrzeuge ausmachen.
2,3,AfD,Alternative für Deutschland,1,6,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"Die AfD lehnt ein generelles Tempolimit auf Bundesautobahnen strikt ab. Starre Tempolimits müssen regelmäßig überprüft werden und im Fall der Unbegründetheit wegfallen. Flexible, situationsgerechte Streckenbeeinflussungsanlagen stellen eine gute Alternative dar."
3,4,FDP,Freie Demokratische Partei,1,6,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme nicht zu,"Ein generelles Tempolimit auf Autobahnen führt weder zu besserem Klimaschutz im Verkehrssektor noch zu mehr Verkehrssicherheit. Ein aktiver und wirkungsvoller Beitrag für den Klimaschutz wäre es, den Verkehrssektor in das Europäische Emissionshandelssystem aufzunehmen. So könnten Emissionen durch Marktanreize an der richtigen Stelle eingespart werden, dort, wo es am effizientesten ist. Zudem bietet intelligente und innovative Verkehrslenkung enorme Möglichkeiten."
4,5,DIE LINKE,DIE LINKE,1,6,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"Deutschland ist das einzige Land in Europa und der industrialisierten Welt ohne Tempolimit. Dabei ist erwiesen, dass dadurch die Zahl von schweren Unfällen und Todesfällen im Straßenverkehr verringert würden. Und Tempolimits sind besser fürs Klima. "
5,6,GRÜNE,BÜNDNIS 90/DIE GRÜNEN,1,6,Tempolimit auf Autobahnen,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,stimme zu,"Um die Anzahl schwerer Unfälle zu vermindern und ein entspanntes Fahren ohne krasse Geschwindigkeitsunterschiede zu ermöglichen, ist die Einführung eines allgemeinen Sicherheitstempos wie in allen anderen europäischen Ländern geboten. Das hilft auch dem Klima und dafür gibt es auch in unserem Land breite gesellschaftliche Mehrheiten."
38,1,CDU / CSU,Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.,2,1,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.,stimme zu,"Die Bürgerinnen und Bürger müssen sich darauf verlassen können, dass der Staat den Frieden und die Freiheit auch in außenpolitisch unruhigen Zeiten gewährleistet. Deutschland muss seinen militärischen Verpflichtungen nachkommen können. Die Bundeswehr muss daher voll ausgestattet sein und weiter modernisiert werden. Auch für eine faire Lastenverteilung und den Zusammenhalt im Bündnis stehen wir zur Verpflichtung in EU und NATO, unsere Verteidigungsausgaben auf zwei Prozent des BIPs zu erhöhen."
39,2,SPD,Sozialdemokratische Partei Deutschlands,2,1,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.,stimme zu,"Zur Sicherung des Friedens und der Verteidigung leistet die Bundeswehr einen verantwortungsvollen Beitrag. Dafür verdienen die Soldatinnen und Soldaten die bestmögliche Ausrüstung und den höchsten Grad an Ausbildung. Nach vielen Jahren immer neuer Sparrunden, hat die SPD daher notwendige Investitionen in die Bundeswehr erhöht. Dabei bleiben wir dem Prinzip verpflichtet: Ausrüstung statt Aufrüstung."
40,3,AfD,Alternative für Deutschland,2,1,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.,stimme zu,"Die Bundeswehr befindet sich in einem desolaten Zustand. Es fehlt an Personal und funktionsfähiger Ausrüstung. Die deutschen Streitkräfte sind so zu reformieren, dass ihre Einsatzbereitschaft im Rahmen der Landes- und Bündnisverteidigung gewährleistet ist. Neuen hybriden Bedrohungen und Cyberattacken muss angemessen begegnet werden. Die AfD steht zu den Zusagen gegenüber der NATO. Um ihren Auftrag wieder erfüllen zu können, ist die Bundeswehr auf eine verlässliche Finanzierung angewiesen."
41,4,FDP,Freie Demokratische Partei,2,1,Erhöhung der Verteidigungsausgaben,Deutschland soll seine Verteidigungsausgaben erhöhen.,stimme zu,"Wir Freie Demokraten wollen, dass Deutschland stärker als bisher den vernetzen Ansatz in seinem internationalen Handeln umsetzt. Hierfür wollen wir die finanziellen Voraussetzungen schaffen. Deutschland soll im Sinne eines vernetzten Ansatzes drei Prozent seines Bruttoinlandsprodukts in internationale Sicherheit (3D - defence, development and diplomacy) investieren, so seine in der NATO eingegangenen Verpflichtungen erfüllen, seine Entwicklungspolitik verstetigen und seine Diplomatie stärken."
