,party,text,label
21,gruene,"Liebe Wähler*innen, durch Wahlen entscheidet eine Gesellschaft, wer sie sein will.",202.1
22,gruene,Das gilt erst recht für diese Bundestagswahl am 26. September.,202.1
23,gruene,Mit ihr endet eine Ära und eine neue kann beginnen.,202.1
25,gruene,"Sie, liebe Wähler*innen, können mit Ihrer Stimme selbst entscheiden, welche Richtung sie nimmt.",202.1
26,gruene,"Wir, BÜNDNIS 90/DIE GRÜNEN, legen mit diesem Programm unser inhaltliches Angebot an Sie vor.",305.1
27,gruene,Wir tun dies in einer Zeit des globalen Ausnahmezustands.,305.1
29,gruene,"Sie hat im Guten gezeigt, zu welcher Gemeinsamkeit, Innovationskraft und Widerstandsfähigkeit wir Menschen erreichen können.",606.1
30,gruene,"Sie hat aber auch die Schwachstellen unserer Gesellschaft schonungslos offengelegt, und das in einer ohnehin verwundbaren Welt.",606.1
31,gruene,"Die globalen Krisen dieser Zeit – zuallererst die Klimakrise als wahre Menschheitskrise – wirken in unser aller Leben hinein und gefährden Freiheit, Sicherheit und Wohlstand.",501.0
32,gruene,"Wir haben aber die Wahl: Wir können entscheiden, ob uns die Krisen über den Kopf wachsen oder wir über sie hinaus.",606.1
33,gruene,"Die Erfahrungen in der Pandemie zeigen, dass wir Krisen in gemeinsamer Kraftanstrengung bewältigen können.",606.1
34,gruene,"Durch die Solidarität, mit der unsere Gesellschaft den Verletzlichsten den stärksten Schutz gegeben hat.",606.1
35,gruene,"Durch Rücksichtnahme, die so viele Menschen an den Tag legen.",606.1
36,gruene,Durch Wissenschaft und Fortschritt.,411.0
37,gruene,"Täglich wachsen in der Pandemie Menschen über sich hinaus – im Krankenhaus, im Altersheim, im Supermarkt, im Labor, Kinder, Eltern und Lehrkräfte im Distanzunterricht, Jugendliche allein zu Hause, Selbständige, die größte Anpassungsfähigkeit zeigen.",606.1
38,gruene,"Jetzt ist es Zeit, dass die Politik über sich hinauswächst.",202.1
39,gruene,Wir können aus Fehlern lernen.,305.1
40,gruene,"Wir haben erlebt, wie fragil der Status quo ist, wie zerbrechlich eine rein auf Profit ausgerichtete Wirtschaft,",416.1
41,gruene,"aber auch, welche Bedeutung Grundrechte haben",201.2
42,gruene,und wie stark unsere Gesellschaft ist.,606.1
43,gruene,"Wir haben erfahren, wie begrenzt nationale Antworten auf globale Fragen sind,",107.0
