"text","cmp_code","eu_code"
"Deutschland.","H",NA
"Aber normal.","H",NA
"Programm der Alternative für Deutschland für die Wahl zum 20. Deutschen Bundestag","H",NA
"Demokratie und Rechtsstaat 12",NA,NA
"Das Volk ist der Souverän 12",NA,NA
"Volksabstimmungen nach Schweizer Modell 12",NA,NA
"Die Gewaltenteilung gewährleisten 14",NA,NA
"Entpolitisierung der Justiz 15",NA,NA
"Verfassungsschutz reformieren 15",NA,NA
"Trennung von Amt und Mandat und Kampf der Ämterpatronage 16",NA,NA
"Macht der Parteien beschränken 16",NA,NA
"Freie Listenwahl und freies Mandat 17",NA,NA
"Verkleinerung der Parlamente 18",NA,NA
"Berufspolitikertum: Mandats- und Amtszeiten begrenzen 18",NA,NA
"Lobbyismus eindämmen 18",NA,NA
"Freiheit und Verantwortung 19",NA,NA
"Leistung statt Quote - Freiheit statt Diskriminierung 19",NA,NA
"Schutz der persönlichen Freiheit vor digitalen Übergriffen 20",NA,NA
"Hinweisgeber (Whistleblower) schützen 20",NA,NA
"Bürgerlich- freiheitliche Rechtsordnung 21",NA,NA
"EU und Europa 26",NA,NA
"Ein Europa der Vaterländer 26",NA,NA
"Zurückführung der Europäischen Union in einen Staatenbund souveräner Staaten 27",NA,NA
"Steuern und Finanzen 32",NA,NA
"Keine EU-Steuern 32",NA,NA
"Für ein Steuersystem mit wenigen Steuerarten und verständlicher Systematik 32",NA,NA
"Abschaffung der Substanzsteuern 33",NA,NA
"Wir wollen ein Land von Wohnungseigentümern werden 34",NA,NA
"Elementare Steuergerechtigkeit statt Nominalwertprinzip und Ungleichbehandlung von Steuerbürgern 35",NA,NA
"Besteuerung an Digitalzeitalter anpassen: Einführung einer Digitalsteuer 37",NA,NA
"Wirtschaft: Für einen „Blue Deal” 40",NA,NA
"Wirtschafts- und Innovationspolitik für Deutschland 40",NA,NA
"Den Mittelstand entlasten 41",NA,NA
"Politisch induzierte Belastungen aussetzen 41",NA,NA
"Technologieführerschaft mit „Blue Deal” 41",NA,NA
"Soziale Marktwirtschaft statt sozialistischer „Industriepolitik“ 43",NA,NA
"Der Euro ist gescheitert 48",NA,NA
"Deutschland muss aus dem untergehenden Euro-System austreten 48",NA,NA
"Keine Schuldenaufnahme durch die EU, Hilfskredite nur auf nationaler Ebene 49",NA,NA
"Zusätzliche Inflationierung durch überzogene Corona-Maßnahmen beenden 50",NA,NA
"EZB-Nullzinspolitik beenden 50",NA,NA
"Wohlstand und sozialer Frieden in Europa durch Wiedereinführung nationaler Währungen 53",NA,NA
"Erhalt des Bargelds: Bargeld ist Freiheit und Schutz vor Enteignung und Totalüberwachung 54",NA,NA
"Target-2-Risiko beenden 55",NA,NA
"Nationale Investitionen 56",NA,NA
"Absicherung gegen die Eurokrise, Geldsystem reformieren, deutsches Staatsgold vollständig zurück nach Deutschland 56",NA,NA
"Außen- und Verteidigungspolitik 60",NA,NA
"Die Außenpolitik Deutschlands muss sich an deutschen Interessen ausrichten 60",NA,NA
"Das Verhältnis zu wichtigen Staaten im Wandel der Geopolitik 62",NA,NA
"Wiederherstellung der Wehrfähigkeit Deutschlands 64",NA,NA
"Entwicklungspolitik: Stabilität als Sicherheits- und Wirtschaftsinteresse 66",NA,NA
"Deutschland muss seine wirtschaftlichen Stärken ausbauen 68",NA,NA
"Auswärtige Kultur- und Bildungspolitik Deutschlands 69",NA,NA
"4 Inhaltsverzeichnis Inhaltsverzeichnis 5",NA,NA
"Innere Sicherheit 74",NA,NA
"Linke Gewalt entschieden bekämpfen 74",NA,NA
"Wirksame Bekämpfung der Ausländerkriminalität 75",NA,NA
"Vollstreckung im Ausland 76",NA,NA
"Jugendstrafrecht 76",NA,NA
"Bundespolizei stärken – Grenzschutz ist nationale Aufgabe 76",NA,NA
"Reform der Polizei 77",NA,NA
"Fahndungsmöglichkeiten verbessern 78",NA,NA
"Organisierte Kriminalität bekämpfen 78",NA,NA
"Sicherheit der Bürger verbessern 79",NA,NA
"Strafjustiz verbessern 79",NA,NA
"Islam 82",NA,NA
"Migration, Asyl und Integration: Human und rational handeln – Deutschland schützen 88",NA,NA
"Asylmissbrauch beenden 88",NA,NA
"Die unlösbaren Folgeprobleme 89",NA,NA
"Asylparadies Deutschland schließen 90",NA,NA
"Abschiebung und Rückkehr 92",NA,NA
"Leben retten und soziale Gerechtigkeit herstellen 94",NA,NA
"Hilfe vor Ort statt Tod auf dem Weg nach Europa 95",NA,NA
"Zuwanderung wieder national regeln 95",NA,NA
"Qualifizierte Zuwanderung 96",NA,NA
"Integration 97",NA,NA
"Die deutsche Staatsangehörigkeit ist ein kostbares Gut 99",NA,NA
"Familienpolitik 102",NA,NA
"Familien stärken und fördern 102",NA,NA
"Ursachen der demografischen Katastrophe 103",NA,NA
"Leistungsfähigkeit der Familien erhalten 104",NA,NA
"Familien unterstützen 105",NA,NA
"Familienfreundliches Deutschland 106",NA,NA
"Kinder in den Familien belassen - Kindesentzug nur in Ausnahmen 107",NA,NA
"Willkommenskultur für Kinder 108",NA,NA
"Trennungsfolgen mindern 110",NA,NA
"Verantwortungsvolle Kinderbetreuung 111",NA,NA
"Das Geschlecht ist eine biologische Tatsache 112",NA,NA
"Arbeits- und Sozialpolitik 116",NA,NA
"Zuwanderung von EU-Ausländern in unsere Sozialsysteme begrenzen 116",NA,NA
"Nationale Gesetzgebungshoheit im Sozialrecht verteidigen 116",NA,NA
"Keine Auszahlungen von Sozialleistungen auf ausländische Konten 117",NA,NA
"Lohndumping in der Leiharbeit verhindern 117",NA,NA
"Mindestlohn beibehalten 117",NA,NA
"Arbeitsleben würdigen – Arbeitslosengeld I gerecht gestalten 118",NA,NA
"Reform der Arbeitslosenversicherung 118",NA,NA
"Aktivierende Grundsicherung - Arbeit, die sich lohnt 119",NA,NA
"Finanzkontrolle Schwarzarbeit stärken 119",NA,NA
"Arbeitsrecht reformieren und vereinfachen 120",NA,NA
"Gezielte Maßnahmen gegen Wohnungs- und Obdachlosigkeit 120",NA,NA
"Mehr Arbeitsplätze mit fairer Entlohnung für schwerbehinderte Menschen 120",NA,NA
"Verbesserungen für Menschen mit Behinderungen in Krankenhäusern 121",NA,NA
"Das Rentenkonzept der AfD 124",NA,NA
"Renten zukunftsfest 124",NA,NA
"Freiheit beim Renteneintritt 125",NA,NA
"Altersarmut verhindern 125",NA,NA
"Abschaffung der Politikerpensionen 126",NA,NA
"Reduzierung des Beamtenstatus auf originär hoheitliche Aufgaben 126",NA,NA
"Lastengerechtigkeit zwischen Familien und Kinderlosen herstellen 127",NA,NA
"Ungerechtigkeiten bei der Überleitung der Ostrenten beseitigen 128",NA,NA
"Keine Doppelbesteuerung, Steuerfreibetrag anheben 128",NA,NA
"Umlagefinanzierte Rente stärken 129",NA,NA
"Wehrdienst rentenpolitisch würdigen 129",NA,NA
"6 Inhaltsverzeichnis Inhaltsverzeichnis 7",NA,NA
"Gesundheitspolitik 132",NA,NA
"Schluss mit den unverhältnismäßigen Corona-Maßnahmen 132",NA,NA
"Impfen muss freiwillig bleiben 133",NA,NA
"Einsetzung eines parlamentarischen Corona-Untersuchungsausschusses 133",NA,NA
"Krankenhäuser und Kliniken brauchen Planungssicherheit und eine individuell auskömmliche Finanzierung 134",NA,NA
"Serviceorientierte ambulante Versorgung durch Beendigung der Budgetierung 135",NA,NA
"Medizinische Versorgung auf dem Land wiederherstellen und sichern 136",NA,NA
"Zugang zu Heil- und Hilfsmitteln entbürokratisieren 137",NA,NA
"Kurzzeitpflegeplätze in Krankenhäusern finanzieren 137",NA,NA
"Beendigung des Pflegenotstands 137",NA,NA
"Vorfahrt für die häusliche Pflege 138",NA,NA
"Vereinfachung und bessere Übersichtlichkeit in der sozialen Pflegeund gesetzlichen Krankenversicherung 139",NA,NA
"Arzneimittelversorgung verlässlich machen 139",NA,NA
"Organspende, Sterbehilfe 140",NA,NA
"Cannabis nur in der Medizin 140",NA,NA
"Antibiotikaresistenzen vermeiden und konsequent begegnen 141",NA,NA
"Den Beruf des Heilpraktikers erhalten 141",NA,NA
