"text","cmp_code","eu_code"
"Das Programm für Stabilität und Erneuerung.",NA,NA
"GEMEINSAM FÜR EIN MODERNES DEUTSCHLAND.",NA,NA
"Inhaltsverzeichnis",NA,NA
"Einleitung4",NA,NA
"1. Neue Verantwortung Deutschlands in der Welt - aus Überzeugung für Frieden, Freiheit und Menschenrechte6",NA,NA
"1.1.Stärkung der werte- und regelbasierten internationalen Ordnung6",NA,NA
"1.2.Deutschland als Stabilitätsanker in der globalen Welt7",NA,NA
"1.3.Aufbruch für die transatlantische Partnerschaft8",NA,NA
"1.4.Stabilität in ganz Europa9",NA,NA
"1.5.Besondere Verantwortung Deutschlands gegenüber Israel10",NA,NA
"1.6.Neue Aufmerksamkeit für den asiatisch-pazifischen Raum 11",NA,NA
"1.7.Moderne und voll einsatzbereite Bundeswehr11",NA,NA
"1.8.Für eine nachhaltige Entwicklung in der Einen Welt13",NA,NA
"1.9.Für eine Entwicklungspartnerschaft mit Afrika14",NA,NA
"1.10.Internationaler Klimaschutz zur Bewahrung der Schöpfung15",NA,NA
"2. NeueWeltpolitikfähigkeit - mit Leidenschaft für ein starkes Europa17",NA,NA
"2.1.Ein starkes Deutschland in einem starken Europa17",NA,NA
"2.2.Mehr Europa in der Weltpolitik18",NA,NA
"2.3.Nachhaltiges Europa20",NA,NA
"2.4.Wettbewerbsfähiges und stabiles Europa 21",NA,NA
"2.5.Unser Europa der Ordnung und Sicherheit24",NA,NA
"2.6.Für ein modernes, innovatives und digitales Europa28",NA,NA
"2.7.Ein handlungsfähiges und bürgernahes Europa30",NA,NA
"3. Neuer Wohlstand - mit nachhaltigem Wachstum zum klimaneutralen Industrieland 33",NA,NA
"3.1.Unser Entfesselungspaket für die Wirtschaft34",NA,NA
"3.2.Sichere Arbeit mit Zukunft37",NA,NA
"3.3.Deutschland als klimaneutrales Industrieland bis 204540",NA,NA
"3.4.Unser Energiekonzept für die Zukunft42",NA,NA
"3.5.Nachhaltiges Wirtschaften zum Schutz unserer Ressourcen45",NA,NA
"3.6.Vorfahrt für intelligente Mobilität47",NA,NA
"3.7.Eine Landwirtschaft, die stark und nachhaltig ist50",NA,NA
"3.8.Modernes Recht für mündige Verbraucherinnen und Verbraucher56",NA,NA
"4.Neue Fairness und soziale Sicherheit - für den gesellschaftlichen",NA,NA
"Zusammenhalt58",NA,NA
"4.1.Finanzielle Sicherheit im Alter58",NA,NA
"4.2.Soziale Sicherheit in allen Lebenslagen61",NA,NA
"4.3.Leistungsfähiges Gesundheitswesen63",NA,NA
"4.4.Gute Pflege für mehr Sicherheit und Halt67",NA,NA
"4.5.Deutschlands Verantwortung für globale Gesundheit69",NA,NA
"5. Neue Generationengerechtigkeit bei Finanzen und Steuern - aus Verantwortung für unsere Kinder und Enkel70",NA,NA
"5.1.Mit soliden Finanzen sicher in die Zukunft70",NA,NA
"5.2.Faire, leistungsgerechte und wettbewerbsfähige Steuern71",NA,NA
"5.3.Vermögensbildung für jeden73",NA,NA
"5.4.Finanzplatz Deutschland stärken74",NA,NA
"6.Neues Aufstiegsversprechen - für Deutschland als Chancen- und Familienland ..75",NA,NA
"6.1.Mehr Zeit, Raum und Unterstützung für Familien75",NA,NA
"6.2.Gleichberechtigte Chancen für Frauen und Männer78",NA,NA
"6.3.Aufstieg durch Bildung79",NA,NA
"7.Neuer Mut zur Innovation - aus Verantwortung für die Zukunft84",NA,NA
"7.1.Strategische Forschungs- und Innovationspolitik für Deutschland84",NA,NA
"7.2.Die besten Köpfe für unser Land89",NA,NA
"7.3Digitale Transformationsoffensive92",NA,NA
"8.Neue Leistungsfähigkeit für einen modernen Staat - zum Wohl der",NA,NA
"Bürgerinnen und Bürger95",NA,NA
"8.1.Modernisierungsjahrzehnt für den Staat95",NA,NA
"8.2.Die Bürgerinnen und Bürger im Mittelpunkt 99",NA,NA
"8.3.Der öffentliche Dienst als moderner Arbeitgeber101",NA,NA
"8.4.Digitale Infrastruktur104",NA,NA
"8.5.Nachhaltiger Staat104",NA,NA
"9. Neue Stärke für mehr Sicherheit - aus Verantwortung für unsere Freiheit 106",NA,NA
"9.1.Mehr Sicherheit überall und jederzeit106",NA,NA
"9.2.Voller Schutz für Kinder und Frauen vor Gewalt und Missbrauch108",NA,NA
"9.3. Kein Raum für organisierte Kriminalität110",NA,NA
"9.4. Null Toleranz gegenüber kriminellen Familienclans111",NA,NA
"9.5. Schutz unserer Demokratie vor Extremisten und Terroristen112",NA,NA
"9.6. Stärkung unserer Sicherheitsbehörden116",NA,NA
"9.7. Gefahrenabwehr im Cyberraum117",NA,NA
"9.8. Wirksamer Bevölkerungsschutz119",NA,NA
"9.9. Starke und bürgernahe Justiz121",NA,NA
"10.Neue Lebensqualität in Stadt und Land - aus Liebe zu unserer Heimat123",NA,NA
"10.1. Gutes Wohnen in lebendigen Dörfern und Städten123",NA,NA
"10.2. Gleichwertige Lebensverhältnisse und wirtschaftliche Entwicklung in allen Regionen126",NA,NA
"10.3. Stärkung von Zusammenhalt und Ehrenamt132",NA,NA
"10.4. Integration als Fundament des Miteinanders134",NA,NA
"10.5. Deutschland als Kulturnation135",NA,NA
"10.6. Eine moderne Medienlandschaft137",NA,NA
"10.7. Engagierte Sportförderung138",NA,NA
"Einleitung","H",NA
"Deutschland ist ein starkes Land.","601.1",NA
"Das ist vor allem ein Verdienst der Bürgerinnen und Bürger, die jeden Tag anpacken, damit es bei uns auch morgen gut läuft.","606.1",NA
"Wir haben starke Betriebe, innovative Startups und Weltmarktführer, herausragende Forscherinnen und Forscher und eines der besten Gesundheits- und Sozialsysteme der Welt.","601.1",NA
"Wir sind ein weltoffenes und sicheres Land; ein Land, das Verantwortung für Sicherheit und Frieden, Freiheit und Wohlstand in Europa und weltweit übernimmt.","601.1",NA
"Die Corona-Krise hat unser Land und besonders Staat und Verwaltung herausgefordert und offengelegt, dass wir in einigen Bereichen schneller, besser und mutiger werden müssen.","303",NA
"Wir brauchen einen kraftvollen Neustart nach der Krise.","408",NA
"Wir wollen die 20er Jahre zu einem Modernisierungsjahrzehnt für unser Land machen.","411",NA
"Dabei wollen wir das Gute besser machen.","411",NA
"Denn klar ist: Wir können nicht zaubern, aber wir können und wir wollen arbeiten und gestalten.","305.1",NA
"Wir haben in der unionsgeführten Bundesregierung vieles erreicht.","305.1",NA
"Unsere Politik für Wachstum und solide Finanzen hat die Grundlage dafür geschaffen, dass wir in der Pandemie umfassend handeln konnten: zum Schutz der Bürgerinnen und Bürger vor dem Virus, für die Impfstoffrevolution und umfassende Hilfen für Betriebe und Beschäftigte.","305.1",NA
"Das ist nicht selbstverständlich und nicht garantiert.","305.1",NA
"Erfolg ist kein Schicksal, sondern das Ergebnis harter Arbeit.","401",NA
"Unsere Richtung ist klar: Wir wollen den Wandel gestalten, damit Deutschland an der Spitze bleibt.","601.1",NA
"Aber unsere Vorstellung ist: Sicherheit im Wandel.","503",NA
"Wir wollen stark aus der Krise kommen und eine neue Dynamik schaffen.","408",NA
"Eine Dynamik, die Wirtschaft","410",NA
"und Klimaschutz voranbringt,","501",NA
"Arbeitsplätze sichert und neue schafft,","701",NA
"Familien unterstützt","603",NA
"und eine moderne Arbeitswelt gestaltet.","701",NA
"Dabei stürmen wir nicht blind ins Morgen, sondern halten Maß und Mitte.","305.1",NA
"Das bedeutet auch: Wir werden nichts versprechen, was wir nicht einhalten können.","305.1",NA
"Durch die hohen Ausgaben zur Bekämpfung der Pandemie sind die finanziellen Spielräume des Staates deutlich eingeschränkt.","414",NA
"Neue Schulden oder Steuererhöhungen wären aber der falsche Weg.","414",NA
"Wir setzen auf wirtschaftliches Wachstum, das unserem Staat finanzielle Spielräume eröffnet.","410",NA
"Diese Spielräume wollen wir für die finanzwirksamen Vorhaben dieses Programms nutzen.","408",NA
"Wir brauchen auch einen Neustart im Verhältnis zwischen Staat und Bürger.","201.1",NA
"Der Staat muss sich nach der Pandemie wieder deutlich zurückziehen und den Bürgerinnen und Bürgern","201.1",NA
"sowie den Unternehmen mehr Freiraum lassen.","401",NA
"Wir müssen aufhören, jedes Problem bis ins Detail zu regeln","401",NA
"oder mit mehr Geld lösen zu wollen.","414",NA
"Wir wollen einen verlässlichen und modernen Staat.","303",NA
"Unser Ziel ist, so schnell wie möglich wieder zurück zu einer Normalität zu gelangen, die uns Liebgewonnenes und Vermisstes zurückgibt und in der wir klug das Morgen gestalten.","601.1",NA
"Wir wollen, dass Deutschland eine starke Heimat bleibt, in der möglichst viele Menschen nach ihrem persönlichen Glück streben können.","601.1",NA
"Wir wollen eine Gesellschaft, die zusammenhält und Einsatz belohnt, Aufstieg ermöglicht und die diejenigen schützt, die sich nicht selbst helfen können.","606.1",NA
"Wir wollen ein modernes Deutschland, das an morgen denkt, heute handelt und gemeinsam ganz Großes weiterwachsen lässt: wirtschaftliche Stärke,","410",NA
"konsequenten Klimaschutz","501",NA
"und soziale Sicherheit.","504",NA
"Deshalb soll Deutschland deutlich vor Mitte des Jahrhunderts eine klimaneutrale Industrienation werden.","501",NA
"Und gemeinsam mit unseren europäischen Freunden wollen wir dafür sorgen, dass Deutschland und die EU weltpolitikfähiger werden.","108",NA
"Wir haben für diese Aufgabe die richtigen Werte und Prinzipien: Vernunft statt Ideologie,","202.1",NA
"Innovationen statt Verbote,","401",NA
"Soziale Marktwirtschaft statt sozialistischer Umverteilung,","403",NA
"Chancen statt Ängste,","503",NA
"Respekt statt Bevormundung für Familien,","603",NA
"christliches Menschenbild und gesellschaftliche Vielfalt statt vorgefertigter Lebensentwürfe für jeden Einzelnen.","603",NA
"Wir spielen vermeintliche Gegensätze und unterschiedliche Gruppen nicht gegeneinander aus.","606.1",NA
"Wir verbinden sie.","606.1",NA
"Weil wir wissen: Gerade in einer individualisierten Gesellschaft ist es wichtig, dass wir bei den großen Fragen in eine gemeinsame Richtung gehen, dass jeder die Gewissheit hat, Teil eines Ganzen zu sein - ob jung oder alt, ob auf dem Land oder in der Stadt, ob Arbeitnehmer oder Arbeitgeber.","606.1",NA
"Zusammenhalt ist für uns Ausdruck von Verantwortung - gegenüber den Bürgerinnen und Bürgern unseres Landes ebenso wie gegenüber unserer Umwelt und den zukünftigen Generationen.","606.1",NA
"Jeder von uns ist Teil dieser Verantwortungsgemeinschaft, Teil einer Nation und einer Europäischen Union mit gemeinsamer Kultur, gemeinsamer Geschichte, gemeinsamen Werten, gemeinsamen Zielen und einer gemeinsamen Zukunft.","606.1",NA
"1.Neue Verantwortung Deutschlands in der Welt - aus Überzeugung für Frieden, Freiheit und Menschenrechte","H",NA
"Unser Unions-Versprechen: Wir arbeiten für ein weltoffenes Deutschland, das in einem Bündnis von Demokratien gemeinsam mit unseren transatlantischen und europäischen Partnern die globalen Herausforderungen gestaltet.","107",NA
"Unser Ziel heißt: Sicherheit und Frieden,","106",NA
"Freiheit und Wohlstand für die Menschen in Deutschland.","201.1",NA
"Das Modernisierungsjahrzehnt, mit dem wir Deutschland weltpolitikfähig machen, kann nur mit neuer außenpolitischer Stärke gelingen.","107",NA
"Die Pandemie hat uns erneut gezeigt, wie vernetzt unsere Welt ist.","107",NA
"Weder das Coronavirus noch der Klimawandel oder die digitale Transformation machen an Grenzen halt.","107",NA
"Wir können die großen weltweiten Menschheitsaufgaben nur lösen, wenn wir sie gemeinsam global anpacken.","107",NA
"Es ist in unserem eigenen Interesse, dass wir international mehr Verantwortung übernehmen.","107",NA
"Die Bedingungen dafür haben sich gravierend verändert: Wir befinden uns inmitten eines weltweiten Epochenwechsels.","107",NA
"Die große wirtschaftliche Dynamik in Asien und der Aufstieg Chinas verändern das internationale Machtgefüge.","107",NA
"Wir erleben die Missachtung des Völkerrechts und Regelbrüche durch bedeutende Staaten des internationalen Systems, und wir sehen, dass sich weltweit populistische Strömungen ausbreiten, auch in demokratischen Staaten.","202.1",NA
"Hinzu kommt: Neue Technologien bestimmen nicht nur unseren Alltag, sondern sind auch ein relevanter Faktor der internationalen Politik.","411",NA
"Es reicht nicht, auf Krisen nur zu reagieren.","104",NA
"Daher werden wir eine Sicherheitsarchitektur schaffen, die bessere Koordinierung und einen vorausschauenden strategischen Ansatz möglich macht.","104",NA
"Die Grundlage unseres weltweiten politischen Handelns ist und bleibt dabei das christliche Menschenbild.","603",NA
"Wir bekennen uns dazu, dass Deutschland aktiv zur internationalen Krisenbewältigung und zur Gestaltung der Weltordnung beiträgt - in der Europäischen Union, der NATO, den Vereinten Nationen und weiteren internationalen Organisationen.","107",NA
"1.1.Stärkung der werte- und regelbasierten internationalen Ordnung","H",NA
"Bündnis der Demokratien schmieden","H",NA
"Demokratien und autoritäre Staaten ringen um den globalen Gestaltungsanspruch im 21. Jahrhundert.","202.1",NA
"Es geht um den Fortbestand unserer freiheitlich-demokratischen Ordnung, die autoritäre Staaten in Frage stellen und zu destabilisieren versuchen.","202.1",NA
"Aus dieser Systemrivalität ergeben sich für uns die Verpflichtung und der Anspruch, die internationale regel- und wertebasierte Ordnung wieder zu stärken.","107",NA
"Denn sie ist Voraussetzung dafür, dass wir in Sicherheit und Frieden,","106",NA
"Freiheit und Wohlstand leben können.","201.1",NA
"Wir wollen, dass Deutschland und Europa gestärkt aus dieser Herausforderung hervorgehen - gemeinsam mit den USA und zugleich auf eigene Fähigkeiten bedacht.","107",NA
"Dafür müssen wir gemeinsam die Zusammenarbeit mit unseren transatlantischen Partnern wieder ausbauen und neue handlungsfähige Strukturen mit unseren weltweiten demokratischen Partnern entwickeln, gerade im indo-pazifischen Raum und in Lateinamerika.","107",NA
"Dieses Bündnis der Demokratien muss prägenden Einfluss auf die globale Ordnung nehmen, insbesondere in der Klima-, Handels-, Digital- und Sicherheitspolitik.","202.1",NA
"Dabei leitet uns der Gedanke der Freiheit","201.1",NA
"und der unantastbaren Würde des Menschen.","201.2",NA
"Deshalb setzen wir uns für Frieden, Freiheit und Sicherheit,","106",NA
"für die Wahrung der Menschenrechte,","201.2",NA
"für die Einhaltung und Weiterentwicklung des Völkerrechts,","107",NA
"für nachhaltige Entwicklung","416.2",NA
"sowie den freien und fairen Welthandel ein.","407",NA
"In unserem außenpolitischen Handeln suchen wir stets die internationale Partnerschaft und den multilateralen Ansatz.","107",NA
"Die Vereinten Nationen (VN) und ihre Organisationen alleine können die universelle Gültigkeit ihrer Grundsätze und Ziele beanspruchen.","107",NA
"Die Vereinten Nationen sind und bleiben daher grundlegend für die internationale Ordnung und die Bewältigung internationaler Herausforderungen.","107",NA
"Sie müssen daher entscheidungs- und handlungsfähiger werden.","107",NA
"Universelle Geltung der Menschenrechte durchsetzen","H",NA
"Die Menschenrechte gelten universell, sind unteilbar und unveräußerlich.","201.2",NA
"Dem Versuch autoritärer Staaten, diesen Konsens aufzuweichen, treten wir entschieden entgegen.","201.2",NA
"Hierfür wollen wir die Menschenrechtsmechanismen stärken.","201.2",NA
"Kinder, Menschen mit Behinderungen oder Flüchtlinge sind dabei besonders schutzbedürftig.","201.2",NA
"Wir wollen auch dem Menschenrecht auf Religionsfreiheit weltweit Geltung verschaffen und die kritische Lage religiöser Minderheiten verbessern.","201.2",NA
"Insbesondere werden wir uns weiterhin beharrlich für verfolgte Christen einsetzen.","201.2",NA
"1.2.Deutschland als Stabilitätsanker in der globalen Welt","H",NA
"Deutschland muss als stärkste Wirtschaftsnation Europas eine führende außen- und sicherheitspolitische Rolle einnehmen.","104",NA
"Wir müssen mehr als bisher bereit sein, zusammen mit unseren Verbündeten und Partnern unter Wahrung der völkerrechtlichen und unserer verfassungsrechtlichen Vorgaben alle Instrumente unserer Außen-, Verteidigungs- und Entwicklungspolitik anzuwenden - auch militärische, wenn dies nötig ist.","104",NA
"Wir wollen einen stärkeren strategischen Ansatz in der Außen- und Sicherheitspolitik in einer regelmäßig vorzulegenden nationalen Sicherheitsstrategie bündeln, die parlamentarisch erörtert wird.","104",NA
"Wir müssen die Vernetzung der Sicherheit auch in unserer Regierung abbilden.","104",NA
"Daher wollen wir im Bundeskanzleramt einen Nationalen Sicherheitsrat schaffen, der außen- und sicherheitspolitische Koordinierung, strategische Vorausschau und nachrichtendienstliche Erkenntnisse des Bundes und der Länder zusammenführt.","104",NA
"Wir werden die politischen Stiftungen weiterhin angemessen finanziell ausstatten.","202.1",NA
"Sie leisten einen wesentlichen Beitrag zur politischen Bildung, zur Studienförderung und zur wissenschaftlichen Forschung sowie im internationalen Bereich zur Stärkung der Demokratie, der Zivilgesellschaft und der Entwicklungszusammenarbeit.","202.1",NA
"1.3.Aufbruch für die transatlantische Partnerschaft Beziehungen zu Amerika stärken","H",NA
"Die USA sind unser wichtigster weltpolitischer Partner.","107",NA
"Mit Präsident Joe Biden verbinden wir die Chance eines neuen Aufbruchs für die transatlantische Partnerschaft.","107",NA
"Nur in enger Abstimmung werden wir gestaltende Impulse in der Klima-, Handels-, Wissenschafts- und Technologiepolitik setzen können.","107",NA
"Unser Ziel muss sein, gemeinsam den Gegnern der Freiheit zu trotzen,","201.1",NA
"globale Standards zu setzen","107",NA
"und unseren technologischen Vorsprung zu wahren und auszubauen.","411",NA
"Hierzu ist eine weitere Vertiefung unserer Handels- und Wissenschaftsbeziehungen unabdingbar.","107",NA
"Unser Ziel ist ein umfassender transatlantischer Wirtschafts-, Handels- und Zukunftsraum.","107",NA
"Um die Technologieführerschaft des wertegebundenen Westens zu bewahren, müssen wir unsere Spitzenforschung und Produktanwendung eng abstimmen.","411",NA
"Wir wollen zudem die gemeinsame Bekämpfung der Organisierten Kriminalität und des Terrorismus intensivieren","104",NA
"sowie klimaaußenpolitisch mit den USA eng zusammenarbeiten.","501",NA
"Auch mit Kanada sowie den demokratisch gefestigten Staaten Lateinamerikas und der Karibik wollen wir enger kooperieren.","107",NA
"Den Austausch mit den USA auf gesellschaftlicher Ebene wollen wir deutlich ausbauen.","107",NA
"Wir wissen: Völkerverständigung beginnt bei persönlichen Freundschaften und muss immer wieder neu wachsen in jeder Generation.","107",NA
"Deshalb wollen wir ein deutsch-amerikanisches Jugendwerk einrichten und das erfolgreiche Jugendaustauschprogramm (Parlamentarisches Patenschaftsprogramm) des Bundestages mehr als verdoppeln.","107",NA
"Die NATO als Wertegemeinschaft und Sicherheitsbündnis begreifen","H",NA
"Die NATO ist das Rückgrat der euroatlantischen Sicherheit.","104",NA
"Garantiert wird diese Sicherheit durch die nukleare Teilhabe, die Beistandsklausel für den Bündnisfall und die Präsenz amerikanischer Soldaten in Europa.","104",NA
"Solange es Staaten mit Atomwaffen gibt, die unsere Wertegemeinschaft aktiv herausfordern, braucht Europa weiterhin den nuklearen Schutzschirm der USA und bleibt die deutsche Beteiligung an der nuklearen Teilhabe im Rahmen der NATO ein wichtiger Bestandteil einer glaubwürdigen Abschreckung im Bündnis.","104",NA
"Wir stehen dafür, dass Deutschland sich entschlossen zur Fortsetzung seiner nuklearen Teilhabe innerhalb der NATO bekennt und die notwendigen Mittel dafür bereitstellt.","104",NA
"Es muss Europas Anspruch sein, als gleichberechtigter Partner gemeinsam mit den USA für Freiheit, Frieden und Demokratie in der Welt einzustehen.","202.1",NA
"Dazu gehört, dass wir mehr Verantwortung im Verbund mit unseren Bündnispartnern übernehmen müssen - sowohl bei robusten Einsätzen als auch bei Friedensmissionen und der Entwicklungszusammenarbeit vor Ort.","107",NA
"Wir wollen den europäischen Pfeiler in der NATO stärken.","104",NA
"Deutschland wird im Modernisierungsjahrzehnt einen wichtigen Beitrag zur Umsetzung des Konzeptes „NATO 2030“ und zur Ausrichtung der NATO für die nächste Generation leisten.","104",NA
"Wir Europäer müssen stärker als bisher für Stabilität in unserer Nachbarschaft Sorge tragen und für eine faire Lastenverteilung eintreten.","107",NA
"Wir bekennen uns explizit zum 2%-Ziel der NATO.","104",NA
"Rüstungskontrolle und Abrüstung voranbringen","H",NA
"Unsere langfristige Vision ist eine Welt, in der nukleare Waffen als Abschreckung nicht mehr nötig sind.","105",NA
"Wir drängen daher auf mehr Dynamik in der Rüstungskontrolle und Abrüstung und unterstützen neue Initiativen, die zu mehr Sicherheit beitragen.","105",NA
"Unser langfristiges Ziel bleibt die vollständige Abrüstung aller nuklearen Mittelstreckenraketen und Marschflugkörper in Europa.","105",NA
"Bestehende Abkommen müssen eingehalten werden.","104",NA
"Wir unterstützen Maßnahmen gegen die Weiterverbreitung von Massenvernichtungswaffen und die dazugehörigen Raketentechnologien sowie die Ächtung autonomtötender Waffensysteme.","105",NA
"Die Bundeswehr muss über alle modernen Technologien verfügen, die zur Verteidigung nötig sind.","104",NA
"Dazu zählen auch unbemannte und KI-integrierende Systeme.","104",NA
"1.4.Stabilität in ganz Europa","H",NA
"Östliche Partner der EU stärken","H",NA
"Wir wollen die Unabhängigkeit der östlichen Partner der EU stärken sowie ihre politische und wirtschaftliche Modernisierung zu europäischen Rechtsstaaten tatkräftig fördern.","202.1",NA
"Unser Ziel bleibt, die europäische Friedensordnung wiederherzustellen, die durch die völkerrechtswidrige Annexion der Krim durch Russland außer Kraft gesetzt wurde.","106",NA
"Wir werden uns weiterhin für ein Ende des Konflikts in der Ostukraine und für eine Rückkehr zum legitimen völkerrechtlichen Status der Krim einsetzen.","106",NA
"Solange die russische Regierung dazu nicht bereit ist, müssen die Sanktionen bestehen bleiben.","109",NA
"Wir stehen an der Seite der Menschen in Belarus, die sich für Freiheit und Demokratie einsetzen.","202.1",NA
"Das Regime muss den Weg zu einem friedlichen Übergang freimachen oder andernfalls die Härte unserer Sanktionen zu spüren bekommen.","106",NA
"Russland konstruktiv und entschlossen begegnen","H",NA
"Russland fordert unsere Werte heraus.","202.1",NA
"Wir wollen nicht, dass daraus wieder eine ernsthafte militärische Bedrohung für uns in Europa wird.","104",NA
"Um eigene Interessen durchzusetzen, greift die russische Regierung mittlerweile zu offenen Drohungen gegen NATO-Verbündete, zu Cyberangriffen, zu Desinformation und Propaganda.","104",NA
"Wir brauchen in der EU und NATO zum einen mehr politische Geschlossenheit und zum anderen die Fähigkeit zur glaubhaften Abschreckung und Resilienz, um diesen Herausforderungen zu begegnen.","104",NA
"Wir suchen zugleich weiter den Dialog und die Zusammenarbeit mit Russland dort, wo gemeinsame Interessen bestehen.","107",NA
"So ist beispielsweise weltweiter Klimaschutz ohne Russland nicht wirkungsvoll und wirtschaftliche Zusammenarbeit im allseitigen Interesse.","107",NA
"Lebensbedingungen im Südlichen Mittelmeerraum verbessern","H",NA
"Die Sicherheit Deutschlands und Europas hängt mit der Stabilität der Staaten im südlichen Mittelmeerraum sowie im Nahen und Mittleren Osten zusammen.","104",NA
"Wenn dort Terror und wirtschaftliche Perspektivlosigkeit herrschen, werden viele Menschen versuchen, nach Europa zu fliehen.","601.2",NA
"Deutschland und Europa müssen mittels Prävention und Vermittlung mehr Verantwortung in der Region übernehmen.","107",NA
"Durch humanitäre Hilfe für Flüchtlinge und Programme wie die Beschäftigungsoffensive „Cash for Work“ verbessern wir die Lebensperspektiven der Menschen vor Ort.","107",NA
"Zugleich unterstützen wir die Staaten der Region im Kampf gegen den Terrorismus.","107",NA
"Gerade mit den Anrainerstaaten im Mittelmeerraum bieten sich auch neue Chancen der Zusammenarbeit - etwa auf dem Feld des grünen Wasserstoffs - die der europäischen Nachbarschaftspolitik neue Impulse verleihen und unsere Nachbarn enger an unsere Wertegemeinschaft binden können.","107",NA
"1.5.Besondere Verantwortung Deutschlands gegenüber Israel","H",NA
"Wir bekennen uns zu der besonderen Verantwortung Deutschlands gegenüber Israel.","101",NA
"Die Sicherheit und das Existenzrecht Israels sind Teil der deutschen Staatsräson.","101",NA
"Die Menschen in Israel haben ein Anrecht darauf, frei von Angst, Terror und Gewalt leben zu können.","101",NA
"Deshalb stehen wir zum Selbstverteidigungsrecht von Israel.","101",NA
"Wir treten dafür ein, dass der Iran seine Verpflichtungen aus der Wiener Nuklearvereinbarung von 2015 (JCPOA) strikt einhält und sein ballistisches Raketenprogramm und seine aggressive Rolle in der Region beendet.","105",NA
"Wir unterstützen alles, was ein friedliches Zusammenleben von Israelis und Palästinensern fördert und eine Zweistaatenlösung ermöglicht.","106",NA
"Wir wollen auf dieser festen Basis unsere enge und freundschaftliche Zusammenarbeit mit Israel in allen Politikbereichen weiter ausbauen, insbesondere beim Jugendaustausch, in der Hochtechnologie und bei der Förderung von Startups.","101",NA
"1.6. Neue Aufmerksamkeit für den asiatisch-pazifischen Raum","H",NA
"Asiatisch-pazifische Demokratien als Partner begreifen","H",NA
"Das 21. Jahrhundert wird wesentlich von den Ländern Asiens und des Pazifiks geprägt werden.","107",NA
"Wir setzen uns daher für enge Partnerschaften mit ihnen ein.","107",NA
"Demokratien wie Australien, Neuseeland, Japan, Indien und Südkorea, die für die Stärkung der regelbasierten internationalen Ordnung eintreten, sind unsere natürlichen Kooperations- und Wertepartner.","107",NA
"Mit der Entsendung einer deutschen Fregatte in den asiatisch-pazifischen Raum zeigen wir Präsenz und setzen das richtige Signal in Abstimmung mit unseren Partnern.","104",NA
"China auf Augenhöhe begegnen","H",NA
"Die größte außen- und sicherheitspolitische Herausforderung geht heute von der Volksrepublik China aus.","109",NA
"Sie ist Wettbewerber, Kooperationspartner,","107",NA
"aber auch systemischer Rivale.","202.1",NA
"China hat den Willen und zusehends auch den Machtanspruch, die internationale Ordnung nach eigenen Vorstellungen zu prägen und zu verändern - und tut dies mit allen Mitteln.","202.1",NA
"China nimmt durch Technologie- und Infrastrukturinvestitionen Einfluss auf andere Staaten und schafft geostrategische Abhängigkeiten.","109",NA
"Wir brauchen daher einen zweifachen Ansatz: Einerseits müssen wir dort, wo es nötig ist, Chinas Machtwillen in enger Abstimmung mit unseren transatlantischen Partnern und anderen gleichgesinnten Demokratien mit Stärke und Geschlossenheit entgegentreten.","202.1",NA
"Das gilt insbesondere beim Schutz des geistigen Eigentums, unserer Hochtechnologie und unserer Daten, damit wir nicht in gefährliche Abhängigkeiten geraten.","202.1",NA
"Andererseits wollen wir dort, wo es möglich ist, eine Zusammenarbeit mit China anstreben.","107",NA
"Eine echte Partnerschaft ist nur im Rahmen eines fairen Wettbewerbs unter gleichen Bedingungen und bei Wahrung des Prinzips der Gegenseitigkeit möglich.","107",NA
