"text","cmp_code","eu_code"
"Nie gab es mehr zu tun",NA,NA
"Wahlprogramm der Freien Demokraten",NA,NA
"Wir sind Freie Demokraten.",NA,NA
"Wir glauben, dass Deutschland jetzt einen Neustart braucht.",NA,NA
"Wir glauben, dass es moderner, digitaler und freier werden muss.",NA,NA
"Wir glauben an das große Potenzial unseres Landes.",NA,NA
"Wir sind bereit, Verantwortung dafür zu übernehmen.",NA,NA
"Das Programm der Freien Demokraten zur Bundestagswahl 2021","H",NA
"Beschluss des 72. Ord. Bundesparteitag der Freien Demokraten vom 14.-16. Mai 2021 (vorbehaltlich der Überprüfung des Wortprotokolls)","H",NA
"Nie gab es mehr zu tun",NA,NA
"Wie es ist, darf es nicht bleiben3",NA,NA
"Werden wir das Land, das in uns steckt3",NA,NA
"Die richtige Richtung: durch die Mitte nach vorne4",NA,NA
"Wir wollen gestalten4",NA,NA
"I.Nie war es notwendiger: Machen wir uns fit für den Aufholwettbewerb!6",NA,NA
"Sicherung der Sozialen Marktwirtschaft und Stärkung der Wirtschaft6",NA,NA
"Entlastung und faire Steuern10",NA,NA
"Investitionen in die Zukunft13",NA,NA
"Faire Regeln bei der internationalen Besteuerung14",NA,NA
"Bildung der Zukunft – Chancen für Aufstieg und Selbstbestimmung15",NA,NA
"Berufliche Bildung19",NA,NA
"Hochschule und Forschung21",NA,NA
"II.Nie war Modernisierung dringlicher: Modernisieren wir endlich unser Land!23",NA,NA
"Unkomplizierter Staat23",NA,NA
"Innovation Nation24",NA,NA
"Mobilität26",NA,NA
"Digitalisierung29",NA,NA
"Moderne Arbeitswelt32",NA,NA
"Gesundheit35",NA,NA
"Pflege38",NA,NA
"Modernes Recht für starke Familien40",NA,NA
"Schutz der Privatsphäre43",NA,NA
"Handlungsfähiger Rechtsstaat45",NA,NA
"Presse- und Meinungsfreiheit schützen48",NA,NA
"Demokratie und Parlamentarismus49",NA,NA
"Tolerante und weltoffene Gesellschaft51",NA,NA
"Kommunen, Sport und Ehrenamt stärken53",NA,NA
"Kultur55",NA,NA
"III.Nie waren die Chancen größer: Bewältigen wir die großen Herausforderungen unserer Zeit!58",NA,NA
"Klima- und Umweltschutz durch Innovation58",NA,NA
"Zukunftsfähige und starke Europäische Union62",NA,NA
"Klare Regeln65",NA,NA
