"text","cmp_code","eu_code"
"Deutschland.",NA,NA
"Alles ist drin.",NA,NA
"Bundestagswahlprogramm 2021",NA,NA
"Bereit, weil ihr es seid.",NA,NA
"Bei diesem Dokument handelt es sich um das grüne Wahlprogramm zur Bundestagswahl 2021.",NA,NA
"Die final gestaltete Fassung mit Inhaltsverzeichns und Stichwortregister wird Ende Juli als barrierefreies PDF auf gruene.de/wahlprogramm veröffentlicht.",NA,NA
"Herausgeber*in:",NA,NA
"BÜNDNIS 90/DIE GRÜNEN Platz vor dem Neuen Tor 1",NA,NA
"10115 Berlin",NA,NA
"Telefon: 030 28442-0",NA,NA
"Fax: 030 28442-210",NA,NA
"E-Mail: info@gruene.de",NA,NA
"Internet: gruene.de",NA,NA
"V.i.S.d.P.:",NA,NA
"BÜNDNIS 90/DIE GRÜNEN Annkathrin Schäfer",NA,NA
"Platz vor dem Neuen Tor 1",NA,NA
"10115 Berlin",NA,NA
"Spendenkonto:",NA,NA
"IBAN: DE 73 4306 0967 8035 8159 00",NA,NA
"BIC/Swift: GENODEM1GLS GLS-Bank",NA,NA
"Eine Einladung","H",NA
"Liebe Wähler*innen, durch Wahlen entscheidet eine Gesellschaft, wer sie sein will.","202.1",NA
"Das gilt erst recht für diese Bundestagswahl am 26. September.","202.1",NA
"Mit ihr endet eine Ära und eine neue kann beginnen.","202.1",NA
"Zukunft ist aber nichts, was uns einfach widerfährt.","000",NA
"Sie, liebe Wähler*innen, können mit Ihrer Stimme selbst entscheiden, welche Richtung sie nimmt.","202.1",NA
"Wir, BÜNDNIS 90/DIE GRÜNEN, legen mit diesem Programm unser inhaltliches Angebot an Sie vor.","305.1",NA
"Wir tun dies in einer Zeit des globalen Ausnahmezustands.","305.1",NA
"Die Pandemie hat uns alle bis ins Mark getroffen.","000",NA
"Sie hat im Guten gezeigt, zu welcher Gemeinsamkeit, Innovationskraft und Widerstandsfähigkeit wir Menschen erreichen können.","606.1",NA
"Sie hat aber auch die Schwachstellen unserer Gesellschaft schonungslos offengelegt, und das in einer ohnehin verwundbaren Welt.","606.1",NA
"Die globalen Krisen dieser Zeit – zuallererst die Klimakrise als wahre Menschheitskrise – wirken in unser aller Leben hinein und gefährden Freiheit, Sicherheit und Wohlstand.","501",NA
"Wir haben aber die Wahl: Wir können entscheiden, ob uns die Krisen über den Kopf wachsen oder wir über sie hinaus.","606.1",NA
"Die Erfahrungen in der Pandemie zeigen, dass wir Krisen in gemeinsamer Kraftanstrengung bewältigen können.","606.1",NA
"Durch die Solidarität, mit der unsere Gesellschaft den Verletzlichsten den stärksten Schutz gegeben hat.","606.1",NA
"Durch Rücksichtnahme, die so viele Menschen an den Tag legen.","606.1",NA
"Durch Wissenschaft und Fortschritt.","411",NA
"Täglich wachsen in der Pandemie Menschen über sich hinaus – im Krankenhaus, im Altersheim, im Supermarkt, im Labor, Kinder, Eltern und Lehrkräfte im Distanzunterricht, Jugendliche allein zu Hause, Selbständige, die größte Anpassungsfähigkeit zeigen.","606.1",NA
"Jetzt ist es Zeit, dass die Politik über sich hinauswächst.","202.1",NA
"Wir können aus Fehlern lernen.","305.1",NA
"Wir haben erlebt, wie fragil der Status quo ist, wie zerbrechlich eine rein auf Profit ausgerichtete Wirtschaft,","416.1",NA
"aber auch, welche Bedeutung Grundrechte haben","201.2",NA
"und wie stark unsere Gesellschaft ist.","606.1",NA
"Wir haben erfahren, wie begrenzt nationale Antworten auf globale Fragen sind,","107",NA
"gesehen, wie viel Unsicherheit entsteht, wenn man nur auf Sicht fährt,","404",NA
"und wie notwendig eine Politik mit Weitblick und für Frieden ist.","106",NA
"Je besser wir vorsorgen, je widerstandsfähiger wir werden, je besser wir schützen, umso freier können wir leben.","201.1",NA
"Als Gesellschaft haben wir den Schlüssel für so vieles schon in der Hand.","606.1",NA
"Wir wissen, wie man eine Industriegesellschaft sicher ins Zeitalter der Klimaneutralität führt.","501",NA
"Wie man dafür den Kohleausstieg beschleunigt und Versorgungssicherheit gewährleistet,","416.2",NA
"wie viel mehr Strom aus Wind und Sonne gewonnen werden kann","416.2",NA
"und der Naturschutz gestärkt wird.","501",NA
"Wir wissen, wie man eine sozial-ökologische Marktwirtschaft entwickelt, die zukunftsfähige Jobs, sozialen Schutz und fairen Wettbewerb in Deutschland und Europa zusammenbringt,","403",NA
"wie man der Globalisierung klare Regeln setzt und multinationale Konzerne angemessen besteuert.","403",NA
"Wir wissen, wie wir in eine starke Gesundheitsversorgung","504",NA
"und eine moderne Infrastruktur,","411",NA
"Wir wissen, wie wir in eine starke Gesundheitsversorgung","504",NA
"und eine moderne Infrastruktur,","411",NA
"in gute Schulen und öffentliche Räume,","506",NA
"in einen gut funktionierenden und bürger*innennahen Staat investieren können.","303",NA
"Es ist möglich, Ungleichheit zu verringern,","503",NA
"gleichwertige Lebensverhältnisse auf dem Dorf, in der Kleinstadt und in der Metropole herzustellen","503",NA
"und Kinder ins Zentrum zu rücken.","503",NA
