"text","cmp_code","eu_code"
"Zeit zu handeln!",NA,NA
"Für soziale Sicherheit, Frieden und Klimagerechtigkeit",NA,NA
"Wahlprogramm zur Bundestagswahl 2021",NA,NA
"Inhalt",NA,NA
"Einführung7",NA,NA
"Es kommt auf uns alle an.",NA,NA
"Es kommt auf dich an7",NA,NA
"Wir lassen niemanden zurück7",NA,NA
"Was uns bewegt7",NA,NA
"Eine neue Politik für alle, die sie längst verdient haben9",NA,NA
"Mut zur Veränderung13",NA,NA
"Gute Arbeit, gute Löhne – Demokratie gilt auch im Betrieb!15",NA,NA
"Löhne, die für ein gutes Leben reichen.",NA,NA
"Schluss mit dem Niedriglohn16",NA,NA
"Arbeitszeiten, die zum Leben passen17",NA,NA
"Gute Arbeitsbedingungen, weniger Belastungen18",NA,NA
"Kein Umbau auf dem Rücken der Beschäftigten: Weiterbildungsanspruch für alle19",NA,NA
"Gleiche Rechte für Saisonbeschäftigte und Beschäftigte in Privathaushalten20",NA,NA
"Union Busting stoppen, Gegenwehr stärken, Mitbestimmung ausweiten21",NA,NA
"Gewerkschaften stärken21",NA,NA
"Gute Rente, gutes Leben: Solidarische Erwerbstätigenversicherung22",NA,NA
"Soziale Sicherheit für alle25",NA,NA
"Soziale Rechte: Eine gerechte Versicherung gegen Erwerbslosigkeit25",NA,NA
"Bedarfsdeckende und sanktionsfreie individuelle Mindestsicherung26",NA,NA
"Sofortmaßnahmen: Erhöhung der Regelsätze und Abschaffung der Sanktionen27",NA,NA
"Kinderarmut überwinden: Kindergrundsicherung28",NA,NA
"Familien dort unterstützen, wo sie es brauchen29",NA,NA
"Selbstbestimmt im Alter30",NA,NA
"Pflegenotstand stoppen!",NA,NA
"Systemwechsel in Gesundheit und Pflege31",NA,NA
"Eine neue solidarische Gesundheitsversicherung!33",NA,NA
"Eine solidarische Pflege-vollversicherung33",NA,NA
"Pflegende Angehörige entlasten!",NA,NA
"34",NA,NA
"Öffentlichen Gesundheitsdienst stärken!35",NA,NA
"Gesundheitliche Ungleichheit bekämpfen!",NA,NA
"36",NA,NA
"Ambulanter Bereich: Gute Versorgung vor Ort, in Stadt und Land37",NA,NA
"Die Macht der Pharmaindustrie brechen!",NA,NA
"Gesundheitsforschung demokratisieren!38",NA,NA
"Keine Profite mit Miete und Boden: Zuhause für alle!39",NA,NA
"Mietenwahnsinn und Verdrängung stoppen.",NA,NA
"Hohe Mieten senken und gemeinnützige Wohnungswirtschaft aufbauen.",NA,NA
"Spekulation mit Grund und Boden beenden39",NA,NA
"Mieten deckeln bundesweit!40",NA,NA
"Sozialen und gemeinnützigen Wohnungsbau schaffen!40",NA,NA
"Wohnen ist keine Ware.",NA,NA
"Rechte von Mieter*innen stärken!41",NA,NA
"Klimagerechtigkeit statt Verdrängung!42",NA,NA
"Spekulation stoppen – Gewinne abschöpfen!43",NA,NA
"Immobilienkonzerne an die Kette legen!44",NA,NA
"Wohnen ist ein Grundrecht – Wohnungen zuerst!",NA,NA
"44",NA,NA
"Städte zukunftsfest machen – Leben in die Dörfer bringen!45",NA,NA
"Gute Bildung: Gerecht, gebührenfrei, ein Leben lang46",NA,NA
"Gute Kitas47",NA,NA
"Eine Schule für alle: inklusiv48",NA,NA
"Gut ausgebildet50",NA,NA
"Gute Weiterbildung51",NA,NA
"Gutes Studium, gute Arbeitsbedingungen, gute Forschung52",NA,NA
"Gute Wissenschaft braucht Gute Arbeit53",NA,NA
"Investitionen in die soziale Infrastruktur54",NA,NA
"Transparente Forschung und gesellschaftliche Verantwortung55",NA,NA
"Klimaschutz sozial gerecht: Für einen sozialökologischen Systemwechsel56",NA,NA
"Die ökologische Krise ist die große Überlebensfrage des 21. Jahrhunderts.",NA,NA
"Gleichzeitig ist sie eine Klassenfrage56",NA,NA
"Den ökologischen Umbau planen56",NA,NA
"Sozialökologische Investitionsoffensive57",NA,NA
"Investieren in gut bezahlte, klimaneutrale Jobs und die Infrastruktur für ein besseres Leben58",NA,NA
"Arbeitsplatz und Einkommensgarantien: Einstieg in ein neues Wohlstandsmodell59",NA,NA
"Industriearbeitsplätze mit Zukunft schaffen60",NA,NA
"Demokratie in der Wirtschaft.",NA,NA
"Genossenschaften und solidarische Ökonomie fördern61",NA,NA
"Gerechte Mobilität:",NA,NA
"Ökologisch und bezahlbar für alle – mit guten Arbeitsplätzen62",NA,NA
"Mobilität für alle – mit weniger Verkehr62",NA,NA
"Bahn für alle!",NA,NA
"Soziale und ökologische Verkehrsplanung63",NA,NA
"Automobilindustrie sozial und ökologisch umbauen65",NA,NA
"Flugverkehr reduzieren65",NA,NA
"Güterverkehr verringern und auf die Schiene bringen66",NA,NA
"Klimagerechtigkeit und Energiewende67",NA,NA
"Raus aus der Kohle, Übergänge gerecht gestalten68",NA,NA
"In erneuerbare Energie investieren, Energiekonzerne entmachten69",NA,NA
"Strompreise stärker kontrollieren,",NA,NA
"Energie für alle bezahlbar machen71",NA,NA
"Grüner Wasserstoff in der Energiewende71",NA,NA
"Für eine nachhaltige Landwirtschaft.",NA,NA
"Gesunde Nahrungsmittel für alle72",NA,NA
"Biologische Vielfalt, Tiere und Ressourcen schützen74",NA,NA
"Tiere wirksam schützen: Tierschutz als Staatsziel75",NA,NA
"Böden und Meere schützen76",NA,NA
"There is no planet B: Ressourcen im Kreislauf führen77",NA,NA
"Mehr Rechte für Verbraucher*innen78",NA,NA
"Verbraucher *innenschutz bei Finanzprodukten!79",NA,NA
"Selbstbewusster Osten – Ostdeutsche Interessen stärken79",NA,NA
"Gleicher Lohn für gleiche Arbeit – Was sonst?80",NA,NA
"Lebensleistung Ost anerkennen – Gleiche Rente für gleiche Lebensleistung81",NA,NA
"Mehr Posten für den Osten –Mehr plurale Sichtbarkeit81",NA,NA
"Treuhand-Vergangenheit aufarbeiten82",NA,NA
"Für einen wirtschaftlichen Aufbruch Ost82",NA,NA
"Reaktivierung öffentlicher Infrastruktur83",NA,NA
"Gegen alte und neue Nazis84",NA,NA
"Starke Kommunen, gute Lebensqualität84",NA,NA
"Mit Steuern umsteuern85",NA,NA
"Einkommensteuer gerecht reformieren88",NA,NA
"Die Macht der Banken und Finanzmärkte brechen89",NA,NA
"Finanzkriminalität stoppen!90",NA,NA
"Für eine Digitalisierung, die den Menschen nützt92",NA,NA
"Beschäftigte und ihre Rechte stärken92",NA,NA
"Die Macht der Internetkonzerne und Plattformen begrenzen93",NA,NA
"Digitale Infrastruktur für alle ausbauen93",NA,NA
"Datensicherheit und Datenschutz95",NA,NA
"Grundrechte schützen96",NA,NA
"Digitale Zahlungssysteme regulieren97",NA,NA
"Öffentliche Verwaltung demokratisch und digital97",NA,NA
"Schule und Lernen digital unterstützen98",NA,NA
"Digitalisierung im Gesundheitswesen99",NA,NA
"Nachhaltige Digitalisierung: ökologisch und sozial100",NA,NA
"Für Gerechtigkeit, Selbstbestimmung und Vielfalt der Geschlechter101",NA,NA
"Linker Feminismus – Zeit für ein selbstbestimmtes, sicheres und gerechtes Leben101",NA,NA
"(Sorge-)Arbeit und Zeit umverteilen102",NA,NA
"Niemals am Leben sparen – keine Kürzungen zulasten von Frauen und Familien103",NA,NA
"Gewalt an Frauen beenden104",NA,NA
"Unser Feminismus: Solidarisch und international105",NA,NA
"Reproduktive Gerechtigkeit: Freie Entscheidung für ein Leben mit und ohne Kinder für alle106",NA,NA
"Für körperliche und sexuelle Selbstbestimmung und Gleichstellung aller Lebensweisen106",NA,NA
"Offensiv und sozial für LSBTIQA*107",NA,NA
"Queere Communitys stärken: Rettungsschirm gegen die Coronafolgen107",NA,NA
"Gegen Armut und soziale Ausgrenzung107",NA,NA
"Diskriminierung bekämpfen108",NA,NA
"Selbstbestimmt leben in einer inklusiven und barrierefreien Gesellschaft110",NA,NA
"Eine solidarische Einwanderungsgesellschaft112",NA,NA
"Unsere Agenda gegen Rassismus: Soziale Offensive und gleiche Rechte für alle113",NA,NA
"Menschlichkeit verteidigen: Menschen retten, Fluchtwege frei machen, Fluchtursachen bekämpfen115",NA,NA
"Die Demokratie stärken117",NA,NA
"Rechten Terror und Gewalt stoppen117",NA,NA
"Die Rechte von Minderheiten stärken119",NA,NA
"Sicherheit für alle statt Überwachungsstaat119",NA,NA
"Polizei im Rechtsstaat121",NA,NA
"Unabhängigkeit der Politik sichern123",NA,NA
"Die Demokratie demokratisieren!",NA,NA
"123",NA,NA
"Bürgerschaftliches Engagement besser unterstützen124",NA,NA
"Kultur: Krisenfest, vielfältig und für alle zugänglich125",NA,NA
"Medienvielfalt, unabhängigen Journalismus und Pressefreiheit stärken128",NA,NA
"Wir verteidigen die Freiheit zur und von der Religion und die Trennung von Staat und Kirche130",NA,NA
"Sport ist kein Luxus131",NA,NA
"Schluss mit der Kriminalisierung der Drogen131",NA,NA
"Ohne Frieden ist alles nichts: Für Frieden und Abrüstung.",NA,NA
"Waffenexporte verbieten133",NA,NA
"Keine Auslandseinsätze der Bundeswehr134",NA,NA
"Bundeswehr abrüsten statt aufrüsten – Keine Bundeswehr als weltweite",NA,NA
"Einsatzarmee134",NA,NA
"Rüstungsexporte stoppen: Kein Geschäft mit dem Krieg!",NA,NA
"135",NA,NA
"Keine Drohnen für den Krieg136",NA,NA
"Für eine atomwaffenfreie Welt137",NA,NA
"Kooperation statt Konfrontation: Für ein inklusives Sicherheitssystem137",NA,NA
"Zivile Konfliktbearbeitung und Krisenprävention138",NA,NA
"Soziale Gerechtigkeit weltweit139",NA,NA
"Sozialökologisch gerechte Weltwirtschaft139",NA,NA
"Entwicklung durch Gerechtigkeit142",NA,NA
"Klimagerechtigkeit global143",NA,NA
"Gerechte Steuern weltweit144",NA,NA
"UN und internationale Zusammenarbeit stärken144",NA,NA
"Menschenrechte durchsetzen145",NA,NA
"Für ein solidarisches Europa!",NA,NA
"147",NA,NA
"Investieren statt Zukunft blockieren!",NA,NA
"148",NA,NA
"Europaweit: Reichtum von oben nach unten verteilen149",NA,NA
"Europäische Zentralbank demokratisch kontrollieren und sozial und ökologisch nutzen149",NA,NA
"Die Wirtschaft umbauen149",NA,NA
"Soziale Absicherung und Gute Arbeit150",NA,NA
"Demokratie statt Herrschaft der Lobbyisten151",NA,NA
"Menschenrechte statt Festung Europa152",NA,NA
"Wie wir das Land verändern153",NA,NA
"Stichwortverzeichnis156",NA,NA
"Einführung","H",NA
"Es kommt auf uns alle an.","H",NA
"Es kommt auf dich an","H",NA
"Die Bundestagswahl entscheidet darüber, wie unser aller Weg in den nächsten Jahren aussehen wird.","202.1",NA
"Wir treten dafür an, dass deine Sorgen, Wünsche und Träume in diesem Land endlich ernst genommen werden.","305.1",NA
"Wir stehen für eine Politik der Verlässlichkeit und der Ehrlichkeit, aber auch des Mutes – wir wollen verändern.","305.1",NA
"Die Coronakrise hat die Ungerechtigkeiten des Kapitalismus deutlich zutage treten lassen: während die einen um ihren Arbeitsplatz, die Bildung ihrer Kinder und die Gesundheit bangen mussten, steigerten große Konzerne ihre Gewinne.","503",NA
"Wir finden uns nicht mit diesen Verhältnissen ab und sind bereit, uns mit den Profiteur*innen anzulegen.","503",NA
"Wir alle können gemeinsam Deutschland demokratischer","202.1",NA
"und sozial gerechter machen.","503",NA
"Wir haben es zusammen in der Hand.","606.1",NA
"Unsere Wirtschaft muss in Deutschland, Europa und weltweit sozialer, demokratischer und umweltgerechter umgestaltet werden.","416.2",NA
"Unsere Demokratie wird nur dann stärker, wenn alle Menschen an ihr teilhaben können.","202.1",NA
"Unsere Zukunft kann nur dann eine solidarische sein, wenn wir anfangen, sie im Hier und Heute zu gestalten.","606.1",NA
"Darum geht es bei dieser Wahl.","202.1",NA
"Dafür kommt es auf eine starke LINKE an.","305.1",NA
"Du hast die Wahl.","202.1",NA
"In unserem Programm zeigen wir, welche Vorschläge wir haben.","305.1",NA
"Wir laden dich ein, an der Veränderung mitzuwirken.","202.1",NA
"Und es ist ein Versprechen an dich: DIE LINKE macht den Unterschied.","305.1",NA
"Wir haben den Mut, die notwendigen Veränderungen zu wagen.","305.1",NA
"Für mehr Gerechtigkeit,","503",NA
"für Frieden","106",NA
"und eine sichere Zukunft.","504",NA
"Für dich.","202.1",NA
"Mit dir.","202.1",NA
"Wir lassen niemanden zurück","H",NA
"Wir lassen niemanden zurück.","503",NA
"Es geht um die Verwirklichung der sozialen und demokratischen Grundrechte und der Menschenwürde aller.","201.2",NA
"Es geht um alle Menschen, um ihre Träume und ihr Recht auf ein gutes Leben,","503",NA
"um die Verwirklichung des alten Menschheitstraums einer Welt des Friedens","106",NA
"und der sozialen Gerechtigkeit, für den so viele gekämpft haben und kämpfen.","503",NA
"Wir wollen Sicherheit und Zukunft für alle unsere Mitmenschen, denen angst und bange wird, wenn sie an den Lohn, die Miete, die Stromrechnung oder an das Alter denken.","504",NA
"Wir wollen Vertrauen und soziale Sicherheit für alle, die seit langem übersehen, missachtet und verletzt werden, weil ihre Sorgen und Nöte zu wenig zählen.","504",NA
"Wir bestehen darauf, dass sich die Dinge ändern, weil sie geändert werden können.","504",NA
"Wir lassen niemanden zurück bei der Überwindung der Coronakrise.","504",NA
"Wir wollen die Gesellschaft und die Demokratie krisensicherer machen.","202.1",NA
"Es geht uns um Gerechtigkeit und Geborgenheit.","503",NA
"Menschen brauchen wieder Anerkennung und sozialen Halt.","504",NA
"Im Alltag, bei der Arbeit, in der Kommune und in der Kultur!","503",NA
"Wir lassen niemanden zurück beim Umsteuern gegen die Klimakatastrophe.","503",NA
"Der Klimawandel weist unverändert und beschleunigt darauf hin, dass die kapitalistische Wirtschaftsweise mit Ressourcenverbrauch und Schadstoffemissionen, mit nachhaltiger Erwärmung des Weltklimas, mit unheilbarer Gefährdung der Artenvielfalt und der gesamten Biosphäre verbunden ist, die schon kurzfristig das Leben auf der Erde gefährden können.","501",NA
"Wir wollen eine Gesellschaft, die für eine Wende zum Besseren – sozial und solidarisch – gerüstet ist.","606.1",NA
"Denn Wandel braucht Hoffnung, dass er gelingen kann, dass alle mitmachen können und sich niemand ausgeschlossen fühlt.","606.1",NA
"Veränderung braucht soziale Sicherheit in einer friedlichen Welt.","504",NA
"Veränderung braucht aber auch Vertrauen.","202.1",NA
"Dafür werben wir.","305.1",NA
"Solidarisch schaffen wir es.","606.1",NA
"Was uns bewegt","H",NA
"Seit über einem Jahr beherrscht die Coronakrise unseren Alltag.","000",NA
"Die Menschen machen sich Sorgen um ihre Liebsten und deren Gesundheit.","000",NA
"Die Pandemie trifft zwar alle, aber sie trifft nicht alle gleichermaßen.","503",NA
"Millionen von Menschen arbeiten hart und viel – und bekommen wenig dafür.","503",NA
"Das gilt im Besonderen in der Coronakrise.","503",NA
"Von Armut bedrohte Menschen tragen ein höheres Risiko, Einkommen zu verlieren oder krank zu werden.","503",NA
"Noch schneller als zuvor ist die soziale Ungleichheit zwischen dem globalen Norden und Süden verschärft worden.","503",NA
"Gestützt durch die private Verfügung über Pharmapatente haben die zentralen Industriestaaten eine Art Impfnationalismus gegenüber ökonomisch benachteiligten Ländern hervorgebracht.","503",NA
"Es geht uns um alle, die unter dieser Jahrhundertkrise durch ein Virus leiden, aber es geht uns auch besonders um all jene, die jetzt alles geben und nur sehr wenig bekommen.","503",NA
"Diejenigen, die den Laden zusammenhalten und wenig verdienen, müssen noch mehr arbeiten.","503",NA
"Anerkennung muss sich auch auf dem Lohnzettel ausdrücken!","701",NA
"Das gilt genauso für Angestellte im Einzelhandel, für Beschäftigte in der Gastronomie, in Kitas und in der Sozialarbeit, für die Reinigungskräfte, für Zusteller*innen.","701",NA
"Es geht aber auch um Kunst und Kultur.","502",NA
"Es geht um all jene, die sich ihren Traum der Selbstständigkeit zu erfüllen versuchen und Schwierigkeiten haben, über die Runden zu kommen.","504",NA
"Millionen wurden von dieser Jahrhundertkrise getroffen und sie alle brauchen jetzt ein sicheres Fundament und eine soziale Perspektive für ihre Existenzen und ihre Lebensträume.","504",NA
"Wir müssen das ändern.","504",NA
"Das können wir nur gemeinsam erreichen.","606.1",NA
"Seit über einem Jahr wissen die Menschen, was nötig wäre, um die Pandemie in den Griff zu bekommen, um Leben zu schützen und die Rückkehr in den Alltag zu ermöglichen.","305.1",NA
"Aber die Bundesregierung hat dabei versagt, dieses Land aus der Krise herauszuführen: bei der Impfstoffbeschaffung, bei der Versorgung mit Tests, bei den Wirtschaftshilfen.","305.1",NA
"Die Große Koalition hat Großkonzernen geholfen, aber viele Menschen sind durch die Maschen der Rettungsnetze gefallen.","503",NA
"Die Kulturbranche liegt am Boden.","502",NA
"Die Regierung hat in der Pandemiebekämpfung versagt, weil sie die Profitinteressen der Wirtschaft über den Gesundheitsschutz gestellt hat.","305.1",NA
"Sie hat sogar einen Teil der Kosten der Pandemie bereits auf die Beschäftigten abgewälzt.","305.1",NA
