"text","cmp_code","eu_code"
"Aus Respekt vor deiner Zukunft Das Zukunftsprogramm der SPD",NA,NA
"Wofür wir stehen.",NA,NA
"Was uns antreibt.",NA,NA
"Wonach wir streben.",NA,NA
"Inhalt",NA,NA
"1.0. Zukunft.",NA,NA
"Respekt.",NA,NA
"Europa. . . . . . . . . . . . . . . . . . . . > 3",NA,NA
"1.1. Zukunft sichern . . . . . . . . . . . . . . . . . . . . . . . . . . . > 4",NA,NA
"1.2. Respekt erneuern . . . . . . . . . . . . . . . . . . . . . . . . . > 5",NA,NA
"1.3. Europa stärken . . . . . . . . . . . . . . . . . . . . . . . . . . . > 6",NA,NA
"1.4. Zusammenhalt wählen . . . . . . . . . . . . . . . . . . . . . > 6",NA,NA
"2.0.Eine lebenswerte Zukunft . . . . . . . . . . . . . . . . . . . > 8",NA,NA
"2.1.Zukunftsmission I.",NA,NA
"Klimaneutrales Deutschland . . . . . . . . . . . . . . . . . > 8",NA,NA
"2.2.Zukunftsmission II.",NA,NA
"Modernstes Mobilitätssystem Europas . . . . . . . . > 11",NA,NA
"2.3.Zukunftsmission III.",NA,NA
"Digitale Souveränität in Deutschland und Europa > 13",NA,NA
"2.4.Zukunftsmission IV.",NA,NA
"Update für die Gesundheit . . . . . . . . . . . . . . . . . > 17",NA,NA
"2.5.Wie wir eine zukunftsfähige Wirtschaft fördern wollen . . . . . . . . . . . . . . . . . . . . . . . . . . . > 19",NA,NA
"2.6.Wie wir Wissenschaft und Forschung innovativ und zukunftsfähig halten. . . . . . . . . . . . . . . . . . . > 21",NA,NA
"2.7.Wie wir unsere Politik finanzieren wollen . . . . . . > 22",NA,NA
"2.8. Wie wir regieren wollen . . . . . . . . . . . . . . . . . . . . > 25",NA,NA
"3.0. Eine Gesellschaft des Respekts . . . . . . . . . . . . . . > 27",NA,NA
"3.1. Arbeit wertschätzen. . . . . . . . . . . . . . . . . . . . . . . > 27",NA,NA
"3.2. Berufschancen erhöhen . . . . . . . . . . . . . . . . . . . . > 31",NA,NA
"3.3. Solidarität erweitern . . . . . . . . . . . . . . . . . . . . . . > 33",NA,NA
"3.4. Alter absichern . . . . . . . . . . . . . . . . . . . . . . . . . . > 35",NA,NA
"3.5. Füreinander einstehen . . . . . . . . . . . . . . . . . . . . > 36",NA,NA
"3.6 Bezahlbares Wohnen . . . . . . . . . . . . . . . . . . . . . . > 37",NA,NA
"3.7. Gut aufwachsen . . . . . . . . . . . . . . . . . . . . . . . . . > 39",NA,NA
"3.8. Gleichstellung verwirklichen . . . . . . . . . . . . . . . . > 42",NA,NA
"3.9. Zusammen leben . . . . . . . . . . . . . . . . . . . . . . . . . > 45",NA,NA
"3.10. Demokratie stärken . . . . . . . . . . . . . . . . . . . . . . . > 47",NA,NA
"3.11. Kultur fördern . . . . . . . . . . . . . . . . . . . . . . . . . . . > 48",NA,NA
"3.12. Einander besser verstehen . . . . . . . . . . . . . . . . . . > 50",NA,NA
"3.13. Sicher leben . . . . . . . . . . . . . . . . . . . . . . . . . . . . . > 51",NA,NA
"3.14. Gesundheitsschutz, Jugendschutz und Entkrimi- nalisierung bestimmen unsere Drogenpolitik . . . > 52",NA,NA
"3.15. Natur respektieren . . . . . . . . . . . . . . . . . . . . . . . > 52",NA,NA
"4.0. Souveränes Europa in der Welt . . . . . . . . . . . . . . > 55",NA,NA
"4.1. Solidarität stärken . . . . . . . . . . . . . . . . . . . . . . . . > 55",NA,NA
"4.2. Sozial-ökologisch wirtschaften . . . . . . . . . . . . . . > 56",NA,NA
"4.3. Demokratie erweitern . . . . . . . . . . . . . . . . . . . . . > 58",NA,NA
"4.4. Europäische Nachbarschaften pflegen. . . . . . . . . > 59",NA,NA
"4.5. Frieden sichern. . . . . . . . . . . . . . . . . . . . . . . . . . . > 61",NA,NA
"5.0. Zukunft, Respekt und ein solidarisches Europa – Leitgedanken für ein neues Jahrzehnt . . . . . . . . > 65",NA,NA
"1.0.Zukunft.","H",NA
"Respekt.","H",NA
"Europa.","H",NA
"Am Anfang des dritten Jahrzehnts des 21. Jahrhunderts stehen wir in Deutschland, Europa und der Welt vor gewaltigen Aufgaben.","000",NA
"Dabei hat die Corona-Krise drängende Fragen unserer Zeit teils überlagert, teils stärker in den Fokus gerückt: Gelingt es uns, die Arbeit und den Wohlstand von morgen zu sichern und für Vollbeschäftigung zu sorgen?","701",NA
"Oder finden wir uns damit ab, dass Menschen ohne Arbeit bleiben?","701",NA
"Überwinden wir die wachsende Ungleichheit?","503",NA
"Oder nehmen wir es hin, dass wenige sich die höchsten Einkommen und die besten Perspektiven sichern, aber die Lasten und Risiken auf den Schultern derer liegen, die sich nicht wehren können?","503",NA
"Wird es uns gelingen, unser Leben und Wirtschaften so zu verändern, dass wir den menschengemachten Klimawandel aufhalten?","501",NA
"Nehmen wir die Gestaltung des digitalen Wandels als demokratische Gesellschaft selbst in die Hand","411",NA
"oder bleibt es dabei, dass die Entwicklung der digitalen Welt von wenigen Technologiekonzernen diktiert wird?","403",NA
"Sorgen wir für gleiche Teilhabe","503",NA
"und mehr Zusammenhalt?","606.1",NA
"Oder nehmen wir es hin, dass unsere Gesellschaft immer weiter auseinanderdriftet, so dass Populisten und Nationalisten leichtes Spiel haben?","606.1",NA
"Das neue Jahrzehnt beginnt mit der Herausforderung der Corona-Pandemie.","000",NA
"Für viele Bürger*innen und Unternehmen bedeutet diese Krise harte Einschränkungen.","000",NA
"Umso bemerkenswerter ist die Bereitschaft, Solidarität zu üben, um uns alle zu schützen und dafür auch Einschnitte in die persönliche Freiheit zu akzeptieren.","606.1",NA
"Die nächsten Monate werden uns die Rückkehr in eine neue Normalität ermöglichen, die die Beschränkungen des öffentlichen und des privaten Lebens Zug um Zug überwindet.","201.1",NA
"Doch auch dann wird uns Corona noch begleiten.","000",NA
"Vieles wird anders.","000",NA
"Die Erfahrung dieser Krise wird sich ins kollektive Gedächtnis einschreiben.","606.1",NA
"Wir alle haben erfahren, dass nichts eine persönliche Begegnung auf Dauer ersetzen kann.","606.1",NA
"Wir haben aber auch gelernt, wie wir digital zusammenarbeiten und kommunizieren können.","411",NA
"Außerdem haben mittlerweile alle erkannt, wie unabdingbar die Arbeit vieler Menschen für unser tägliches Leben und Überleben ist, die aber bisher nicht die Wertschätzung und schon gar nicht die Bezahlung und Sicherheit bekommen, die sie verdienen.","701",NA
"Es hat sich eindringlich bestätigt, dass Familien auf eine krisenfeste, verlässliche Infrastruktur an Bildung, Betreuung und Angeboten der Kinder- und Jugendarbeit angewiesen sind.","506",NA
"Um die Krise zu überwinden, braucht es gemeinsame Anstrengungen.","606.1",NA
"Daraus kann neuer Mut wachsen, mit dem wir die großen Aufgaben unserer Zeit zuversichtlich angehen können.","606.1",NA
"Wir wollen sichern und ausbauen, was wir erarbeitet haben,","305.1",NA
"wir wollen den Klimawandel bewältigen,","501",NA
"die Arbeit von morgen schaffen,","701",NA
"Chancen und Lasten gerecht verteilen,","503",NA
"die Gesellschaft zusammenhalten und der Gefahr ihrer Spaltung begegnen.","606.1",NA
"Wir Sozialdemokrat*innen sind entschlossen, diese Aufgaben zu bewältigen.","305.1",NA
"Die meisten Bürger*innen in unserem Land eint das Bedürfnis nach Respekt, Zusammenhalt und Zuversicht für eine gute, sichere Zukunft in Deutschland und Europa.","606.1",NA
"Diese Zuversicht entsteht aus dem Vertrauen, Einfluss darauf nehmen zu können, wohin sich unser Leben, wohin sich unsere Gesellschaft entwickelt.","202.1",NA
"Immer mehr Bürger*innen wollen mitbestimmen, in welche Richtung wir gehen werden.","202.1",NA
"Spürbar ist das in dem gewachsenen Bewusstsein um die ökologische Verantwortung,","501",NA
"in der dringenden Sorge um den schwindenden Zusammenhalt","606.1",NA
"oder in der wachsenden Kritik an Ungleichheit in unserer Gesellschaft.","503",NA
"In der Corona-Krise wird einmal mehr überaus deutlich, dass Gewinnmaximierung und Kostenminimierung nicht das Maß aller Dinge sein dürfen.","416.2",NA
"In der Wirtschaft, im Gesundheitssystem, im Bildungssystem, der Justiz und anderen wichtigen Bereichen wurde zu viel „auf Kante genäht“.","409",NA
"Aber unsere Gesellschaft ist stabil – auch unter widrigen Umständen und in krisenhaften Situationen.","601.1",NA
"Wir müssen alles dransetzen, dass es so bleibt.","601.1",NA
"Die Stabilität verdanken wir der beeindruckenden Solidarität","606.1",NA
"und den demokratischen Grundwerten unserer Gesellschaft.","202.1",NA
"Neue Akzeptanz und neue Begeisterung sowie neuer Respekt für demokratische Institutionen entstehen durch mehr Transparenz und Beteiligung.","202.1",NA
"Für den Zusammenhalt unserer Gesellschaft ist der Respekt vor der Verschiedenheit der Menschen und ihrer Lebensentwürfe eine der wichtigsten Grundlagen.","503",NA
"Diese Vielfalt ist ein unschätzbarer Gewinn, und wir werden dafür sorgen, dass sie sich in allen Bereichen unserer Gesellschaft, in unseren Parlamenten und in den Formaten der Beteiligung angemessen widerspiegelt.","503",NA
"Vielen in Deutschland geht es – auch im Vergleich mit anderen Ländern – wirtschaftlich gut.","601.1",NA
"Aber das gilt nicht für alle und es fehlt vielen die Gewissheit, dass das auch morgen so sein wird.","503",NA
"Mit unserer Politik werden wir dazu beitragen, dass die Ungleichheit überwunden wird, Sicherheit im Wandel garantiert ist und neue Zuversicht entsteht.","503",NA
"1.1.Zukunft sichern","H",NA
"Ein kurzer Blick in die Zukunft: Spätestens 2045 werden wir klimaneutral wirtschaften.","416.2",NA
"Windkraft und Sonne sind unsere Energiequellen, unterstützt durch eine saubere Wasserstoffwirtschaft.","416.2",NA
"Öffentliche Gebäude, Schulen und Supermärkte beziehen Solarstrom,","416.2",NA
"und klimafreundliches Unternehmertum wird finanziell belohnt.","402",NA
"Wir sehen in dieser Jahrhundertaufgabe riesige Potenziale für gute und sichere Arbeitsplätze.","701",NA
"Deutschland ist erfolgreich als Exporteur umweltfreundlicher Technologien, weil es gelungen ist, Produktionsprozesse nachhaltig und die 20er zu einem Jahrzehnt der erneuerbaren Energien zu machen.","416.2",NA
"Den sozial-ökologischen Umbau der Wirtschaft meistern wir, wenn wir wirtschaftlichen Erfolg zukünftig nicht nur am Bruttoinlandsprodukt messen, sondern am Wohlergehen der gesamten Gesellschaft und der Natur.","416.2",NA
"Wir richten unsere Politik an den Nachhaltigkeitszielen der Vereinten Nationen (SDG) aus","107",NA
"und werden dazu die Deutsche Nachhaltigkeitsstrategie weiterentwickeln.","416.2",NA
"Wenn der Staat maßgebliche Impulse gibt, durch kluge Spielregeln, die soziale und technische Innovationen hervorbringen,","403",NA
"durch Förderung von Wissenschaft und Forschung,","411",NA
"durch massive und stetige Investitionen in eine moderne Infrastruktur,","411",NA
"durch aktive Förderung der Regionen im Wandel","301",NA
"und durch Beteiligung der Bürger*innen im Allgemeinen","202.1",NA
"und der Beschäftigten im Besonderen.","701",NA
"So werden Arbeitsplätze zukunftsfähig und neue gute Arbeitsplätze geschaffen.","701",NA
"So sichern wir Einkommen und Perspektiven für alle.","503",NA
"Wir wollen einen neuen sozial-ökologischen Gesellschaftsvertrag, der dafür sorgt, dass im Wandel niemand abgehängt wird.","503",NA
"1.2.Respekt erneuern","H",NA
"Die Corona-Krise hat uns allen in Deutschland vor Augen geführt, wie sehr wir in unserem Alltag auf die Arbeit derjenigen angewiesen sind, deren Einkommen bislang oft nur knapp zum Leben reicht.","701",NA
"Die Kassierer*innen im Supermarkt, die Busfahrer*innen, Reinigungskräfte, Pflegekräfte und Erzieher*innen verdienen mehr Anerkennung – die sich auch in guten Einkommen und Arbeitsbedingungen niederschlägt.","701",NA
"Dafür werden wir kämpfen.","701",NA
"Wie wertvoll ein funktionierender Sozialstaat ist, haben wir in der Corona-Krise erlebt.","504",NA
"Wir bemühen uns, die wirtschaftlichen und sozialen Folgen der Krise bestmöglich durch verschiedene Maßnahmen abzumildern, etwa durch ein tragfähiges Kurzarbeitergeld.","504",NA
"Erkennbar wurde aber auch, wo wir als Gesellschaft noch viel zu tun haben.","606.1",NA
"Bei der immer noch nicht vollendeten Gleichstellung von Männern und Frauen, die sich vor allem daran zeigte, dass sich viele unvermittelt in alte Rollenmodelle zurückversetzt gesehen haben.","503",NA
"Auch bei der unzureichenden Absicherung von Künstler*innen und Selbstständigen,","701",NA
"den überteuerten Wohnungen nicht nur in den Ballungszentren","503",NA
"und der mangelnden Infrastruktur im ländlichen Raum gibt es noch viel zu tun.","411",NA
"Respekt vor der Würde aller Bürger*innen heißt für uns, dass alle ein Recht auf gleiche Verwirklichungschancen und ein sicheres Leben haben.","503",NA
