,party,text,label
0,gruene,und der Naturschutz gestärkt wird.,501.0
1,gruene,wie man der Globalisierung klare Regeln setzt und multinationale Konzerne angemessen besteuert.,403.0
2,gruene,Wir können eine volle Gleichberechtigung der Geschlechter erreichen,503.0
3,gruene,und eine vielfältige Einwanderungsgesellschaft gestalten.,607.2
4,gruene,"Wir sind in der Lage und fest entschlossen, Europa als Wertegemeinschaft demokratisch zu stärken und im globalen Systemwettbewerb gerechter und handlungsfähiger zu machen.",108.0
5,gruene,"Wir wollen einen Aufschwung schaffen, der über das rein Ökonomische hinausgeht.",416.2
6,gruene,Es schlägt konkrete und ehrgeizige Projekte für politisches Handeln in einer Bundesregierung in den kommenden vier Jahren vor.,305.1
7,gruene,Lassen Sie uns also gemeinsam die politische Arbeit auf die Höhe der Zeit bringen.,202.1
8,gruene,"Wenn Sie, liebe Wähler*innen, uns das Mandat dafür erteilen und wir diese Projekte mit Ihnen Schritt für Schritt umsetzen dürfen, schaffen wir zusammen die Grundlagen für ein Jahrzehnt des mutigen Vorangehens, des Machens, des Gelingens.",202.1
9,gruene,Wir haben ein klares Ziel für dieses Jahrzehnt vor Augen: klimagerechten Wohlstand.,416.2
10,gruene,mehr soziale Gerechtigkeit,503.0
11,gruene,und einen klimagerechten Wohlstand.,416.2
12,gruene,Und für den Zusammenhalt in unserer Gesellschaft.,606.1
13,gruene,Wir werden deshalb konsequent den Weg zur Klimaneutralität gehen.,501.0
14,gruene,Wir stellen in einer künftigen Regierung das Pariser Klimaabkommen in den Mittelpunkt und richten das Handeln aller Ministerien danach aus.,501.0
15,gruene,"Wir lenken all unsere Kraft darauf, Maßnahmen auf den Weg zu bringen, die uns auf den 1,5-Grad- Pfad führen.",501.0
16,gruene,Solch klare politische Ordnungsrahmen entlasten auch uns als Menschen im Alltag und schaffen Freiheit.,403.0
17,gruene,"und ermöglicht ein klimagerechtes, ein besseres Leben.",503.0
18,gruene,"Wir bringen deshalb Strom, Wärme, Verkehr und Industrie zusammen, beenden Energieverschwendung und sorgen so für eine effiziente Verzahnung dieser Bereiche.",416.2
19,gruene,"Statt an fossilen Verbrennungsmotoren festzuhalten, schaffen wir eine neue Mobilität mit der Bahn, dem Rad, zu Fuß oder mit emissionsfreien Autos.",416.2
20,gruene,"Mehr Angebote an klima- und umweltfreundlichen Verkehrsmitteln, zum Beispiel Rufbussen oder Carsharing, erleichtern zu pendeln und befördern ein gutes Leben auf dem Land.",411.0
21,gruene,"Die sozial-ökologische Transformation gelingt nur, wenn wir gemeinsam alles dafür tun, Verluste zu verringern und Brücken zu bauen.",416.2
22,gruene,"So müssen diejenigen, die neue Chancen oder Weiterbildung brauchen, sie auch bekommen.",411.0
23,gruene,"Und es ist unsere Aufgabe, Sorge dafür zu tragen, dass die Kosten und Belastungen dieser Veränderung gerecht verteilt sind.",503.0
24,gruene,Klimagerechter Wohlstand bedeutet Ökologie und Soziales zusammenzudenken und den Übergang gut zu gestalten: für Menschen in der Stadt und auf dem Land.,416.2
25,gruene,und tragen so auch zu mehr Umweltgerechtigkeit bei.,503.0
26,gruene,"Nicht nur der Strom, auch das Benzin in unseren Autos, das Kerosin im Flugzeugtank, das Schweröl im Schiff, das Öl für die Heizung und das Gas im Industriebetrieb müssen auf erneuerbare Energien umgestellt werden.",416.2
27,gruene,"Dazu braucht es zuallererst eine massive Ausbauoffensive für die Erneuerbaren, die so schnell wie möglich umgesetzt wird.",416.2
28,gruene,Daher beseitigen wir in einem kontinuierlichen Prozess bestehende Ausbauhemmnisse – naturverträglich und zugunsten der Bürger*innen.,401.0
29,gruene,"Mit einer umfassenden Steuer- und Abgabenreform wollen wir dafür sorgen, dass die Sektorenkoppelung vorankommt",416.2
30,gruene,"Wir stellen Sonne und Wind ins Zentrum und ermöglichen es Industrie, Gewerbe und Handel, über flexibleren Verbrauch besonders viel zur Integration der Erneuerbaren beizutragen.",416.2
31,gruene,Doppelte Belastungen und andere Bremsklötze schaffen wir ab.,416.2
32,gruene,Kritische Infrastrukturen sichern wir mit notstromfähigen Solaranlagen.,411.0
33,gruene,"Verteilnetze und Verbraucher*innen statten wir mit intelligenter Technik aus, damit sie flexibel reagieren können, wenn gerade viel erneuerbarer Strom produziert wird.",403.0
34,gruene,Dafür machen wir klare ordnungsrechtliche Vorgaben.,403.0
35,gruene,"Strompreisvergünstigungen für Unternehmen, die im internationalen Wettbewerb stehen, sollen an die Umsetzung von Energieeffizienzmaßnahmen geknüpft werden.",416.2
36,gruene,"Denn je weniger Energie benötigt wird, desto schneller schaffen wir 100 Prozent Erneuerbare, erreichen die Klimaziele und sparen Kosten für Energieinfrastruktur.",416.2
37,gruene,Wir müssen unsere Wirtschaft auf Klimaneutralität und die planetaren Grenzen ausrichten und eine Kreislaufwirtschaft etablieren.,416.2
38,gruene,Den wirtschaftlichen Aufbruch nach der Corona-Krise und die ökologische Modernisierung wollen wir zusammenbringen.,416.2
39,gruene,Dazu braucht es eine sozialökologische Neubegründung unserer Marktwirtschaft.,416.2
40,gruene,"Wir wollen mit ehrgeizigen Vorgaben in Form von Grenzwerten, CO2-Reduktionszielen und Produktstandards der deutschen und europäischen Wirtschaft Planungssicherheit geben",403.0
41,gruene,und Impulse für neue Investitionen setzen.,411.0
42,gruene,Forschung und Innovationen für klimagerechtes Wirtschaften wollen wir stärker fördern.,411.0
43,gruene,Die öffentliche Beschaffung richten wir konsequent auf die ressourcenschonendsten und sozial verträglichsten Produkte und Dienstleistungen aus.,416.2
44,gruene,und schützen unsere natürlichen Lebensgrundlagen.,501.0
45,gruene,"Hierzu fördern und priorisieren wir digitale Anwendungen und Lösungen, die einen Beitrag zur Ressourcenschonung leisten oder nachhaltiger sind als analoge.",416.2
46,gruene,"Wir wollen alle Rechen- und Datencenter des Bundes nachhaltig umstellen, mit erneuerbarer Energie betreiben und zertifizierte umweltfreundliche Hardware einsetzen.",416.2
47,gruene,"Zugleich gilt es, Anreize zu schaffen, um den Stromverbrauch von Rechenzentren zu reduzieren, einschließlich Umstellung auf Wasserkühlungssysteme, und CO2-neutrale Rechenzentren zu fördern.",416.2
48,gruene,"Wir wollen, dass die neuen Jobs nach Möglichkeit einem Tarifvertrag oder mindestens gleichwertigen Bedingungen unterliegen.",701.0
49,gruene,Darauf werden wir auch bei der Förderung von neuen Wirtschaftsfeldern achten.,701.0
50,gruene,"Wir sehen es als unsere Verpflichtung, Unternehmen und ihre Beschäftigten auf dem Weg hin zu einem klimaneutralen Wirtschaftssystem zu unterstützen.",416.2
51,gruene,Es braucht in der ökologischen Transformation ein noch viel besseres Angebot an Weiterbildung und Qualifizierung.,411.0
52,gruene,Dazu wollen wir ein Recht auf Weiterbildung einführen,411.0
53,gruene,und mit einem Weiterbildungsgeld auch für Erwerbstätige in Qualifizierungsphasen eine soziale Absicherung schaffen.,504.0
54,gruene,"Mit einem neuen Qualifizierungs-Kurzarbeitergeld ermöglichen wir Unternehmen, in Phasen der Transformation ihre Beschäftigten im Betrieb zu halten und nachhaltig zu qualifizieren.",701.0
55,gruene,Die Qualifizierungs-Kurzarbeit koppeln wir eng an die Sozialpartnerschaft.,405.0
56,gruene,Zudem wollen wir die betriebliche Mitbestimmung bei Entscheidungen über die ökologische Transformation stärken.,701.0
57,gruene,"Um Regionen und insbesondere die dort ansässigen kleinen und mittleren Unternehmen zu unterstützen, wollen wir regionale Transformationsfonds auflegen.",402.0
58,gruene,"Regionale Akteur*innen aus Wissenschaft, Politik, Wirtschaft und Gewerkschaften sollen eingebunden werden und gemeinsame Visionen erarbeiten, wo die Region sozial und wirtschaftlich in Zukunft stehen sollte.",405.0
